,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25
o0,,,,X,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,X,,,,,
o4,,,,,,,,,,,,,,,,,,,,X,,,X,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,X,,,X,,,,,,,,,,X,,,,,
o7,,X,,,,,,,,,,,,,,,,,,,,,,,,
o8,X,,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,X,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,X,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,X,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,X,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,X,,,,,,,,,,,,X,,,,,,,,,,,
o17,,,,X,,,,,,,,,,,,,,,X,,,,X,,,
o18,,,,,,,,,,X,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,X,,,,,,,,,,,,,,,,,,,
o21,,,,,,,X,,,,,,X,,X,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,X,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,X,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,X,,X,,,,,,,,,,,,,
o26,,,,X,,X,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,X,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,X,,,,,,,,,,,,,,,,,,,,
o30,X,,,,,,,,,,,,,,,,,,,,,,,,,
o31,X,,,X,,,,,,,,,,X,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,X,,,,,,
o33,,,,,,,,,,,,,,,,,,,,X,,,,,,
o34,,,,,,,,,,,X,,,,X,,,,,,,,,,,
o35,,,,,,,,,,,,,,,X,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,,X,
o37,,,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,X,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,,,X
o41,,,,,,,,,,,,,,,,,X,,,,,,,,,
o42,,,,,,,,,,,,,X,,,,,X,,,,,,,,
o43,,,,X,,,,,,,,,,X,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,X,,,,,,,,,
o45,,,,,,,,,,,,,,X,,,,,,,,,,,,
o46,,,,,,,X,,,,,,,,,,,,,,,,,,,
o47,,,,,X,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,X,,,,,,,,,,,
o49,,,,,,,,,,,,X,,,,,,,,,,,,,,
o50,,,X,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,,,,,,
o53,,,X,,,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,X,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,,,,,,,,
o56,,,,X,,,,,,,,,,,,,,,,,,,,,,
o57,,,,X,,,X,,,,,X,,,,,,,,,,,,X,,
o58,,,,,,,,,,,,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,,,,,,,X,,,,
o60,,,,,,,,,,,,,,,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,,,,,,,,,,,X,
o62,,,,,,,,,,,,,,,,,,,,,,,,,,
o63,,,,,,,,,,,,,,,,,,,,,,,,,,
