,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,,X,,,,,
o1,,,X,X,,,,,,,
o2,,,X,,,,,,,,
o3,,,,,,,X,X,,,X
o4,,X,,,,,,,,,X
o5,,,,X,,,,,,,
o6,,,,,,,X,,X,,
o7,,,,X,,,,,,,
o8,X,,,,,,X,X,,,
o9,,,,,X,X,,X,,X,
o10,,,,,,,,,,X,
o11,,,,,,,,X,,X,
o12,X,,,,,,,,,,
o13,,,,,,,X,,,,X
o14,X,,,,,,,,,X,
o15,,,X,,,,,,,,
o16,,X,X,,,,,,,,X
o17,,,,X,X,,,,,,
o18,,,,,,X,,,,,
o19,,,,,,,,,X,,
o20,,,,,,,,X,,,
o21,,,X,,,,,,,,
o22,,,,,,,X,,,,
o23,,,X,,,,,,,X,X
o24,,X,,,,,,,,,
o25,,X,X,,,,,,X,,
o26,,,,,,,,,X,,X
o27,,,X,,,,,,,,
o28,,,X,,X,,,,X,,
o29,,,,,,,,X,X,,X
o30,,,X,,,,,,,,X
o31,X,,,,,,X,,,,
o32,,,,,X,X,,,,,
