,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,,,,,,
o1,,,,,,,,,,
o2,,,,,,,,,,
o3,,,,,,,,,,
o4,,,X,,,,,,,
o5,,,,,,,,,,
o6,,,,,,,,,,
o7,,,,,,,,,,
o8,,,,,,,,,,
o9,,,,,,,,X,,
o10,,,,,,,,,,
o11,,,X,,,,,,,
o12,,X,,,,,,,,
o13,,,,,,,,,,
o14,X,,,,,,,,,
o15,,,,,,,,,,
o16,,,,,,,,,,
o17,,,,,,,,,X,
o18,,,,,,,,,,
o19,,,,,,X,,X,,
o20,,,,,,,,,,
o21,,,,,,,,,,
o22,,,,,,,,,,
o23,,,X,,,,,,,
o24,,,,,,,,,,
o25,,,,,,,,,,
o26,,,,,,,,,,X
o27,,,,,,,,,,
o28,,,,,,,,,,
o29,,,,,X,,X,,,
o30,,,X,,,X,,,,
o31,,,,,,,,,,
o32,,,,,,,,,,
o33,,,,,,,,,,
o34,,,,,,,,,,X
o35,,,,,,,,,,
o36,,,,,,,,,,
