,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,X,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,X,,,,,,,,,,,
o6,,X,,,,,,,,,,,X,,,,,X,,,
o7,,,,,,,,,,X,,,,,,,,,,,
o8,,,,,X,,,X,,,,,,,,,,,X,,
o9,,,,,X,,,,,,X,,,,,,,,,,
o10,,,,,,,,X,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,
o13,,,,X,,,,,,,,,,,,,,X,,,
o14,,,,X,,,,,X,,,X,,,,,,,,,
o15,,,,,,,,,,X,,,,,,,,,,,
o16,,,,,,,,,,,,,,,X,,,X,,X,
o17,,,X,,,,,,,,,,,,X,X,,,,,
o18,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,X,X,,,,
o22,,,X,,,,,,,,,,,,,,,,,,
o23,,,,,X,,,,,,,,,,,,,,,,
o24,,,,X,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,
o26,,,,X,,,,,,,,,,,,,,,,,
o27,,,X,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,X,,,,,
o29,,,,,,,,,,X,,,,,,,,,,,
o30,,,,X,,,,,,,,,,X,,,,,,,
o31,,,,,,,,,,,,,,X,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,
o33,,,,X,,,,,,,,,,,,,,,,,
o34,,X,,,,,,,,,,X,X,,,,,X,,,
o35,,,,,,,,,,,,,,X,,,,,,,
o36,,,,,,,,,,,,,,,X,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,
o39,X,,,,,,,,,,,X,,,,,,,,,
