,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
o0,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,X,,
o2,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,X,,,X,
o6,X,,,,,,,,,,,X,,,,,
o7,,,,,,,,,,,,,,X,,,
o8,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,X,,,,,,
o14,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,
o16,,,,,,,,,X,,,,,,,,
o17,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,
o19,,,,,,,X,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,X,,,,,X
o26,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,
o29,X,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,X,,,,,,,
o32,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,X,,,,,,,
o36,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,
o38,,,,,,X,,,,,X,,,,,,
o39,,,,X,,,,,,,,,,,X,,
o40,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,
o43,,,,,,,,,X,,,,,,,,
o44,,,,,,,,,,,,,,,X,,
o45,,,X,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,
o48,,,,,,,,,X,,,,,,,,
o49,,,,,,,,,,,X,,,,,,X
