,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,,,,,,,,,,,X,,
o1,,,,,,,X,,,,,,,,X
o2,,X,,,,,,,,,X,,,,
o3,X,,,,,,,,,,,,,,
o4,X,,,,,,,,,,,X,,,
o5,,,,,,,,,X,,,,,,
o6,,,,,X,X,X,,,,,,,,
o7,,,,,,,,X,,,,X,,,
o8,,,,,,,X,,,X,,,,X,
o9,,,,,X,,,,,,,,,X,
o10,,,,,,,,,,,,,,,
o11,,,,X,X,,,,,,,,,,
o12,,,,,,,,,,X,,,,,
o13,,,,,,,,,,,,,,,
o14,,,,,X,,,,,,,,,,
o15,,,,,,,,,,,,X,X,,
o16,,,X,,,,,,,X,X,,,,
o17,,,,,,,X,,,,X,,X,,
o18,,,,,,,,,X,,,,,,
o19,,,,,,,,,,,,,,,
o20,,,X,,,,,,,,,,,,
o21,,,,,,,,,X,,X,,,,X
o22,X,,,,,,X,,,,,,,,
o23,,,,,,,,X,,,X,,,,
o24,,,,,,,,,,X,,,,,X
o25,,,,,,,,,,,,,,,
o26,,,,X,,,,,,,X,,,,
o27,,,,,,X,,,,X,,,,,
o28,,,,X,,,,,,,,,,,
o29,X,,,,,,,,,,,X,,,
o30,,,X,,,,,X,,,,X,,,
o31,,,,,X,,,,,,,,,,X
o32,,,,,,,,X,,,,,,,
o33,,,,X,X,,,,X,,,X,,X,X
o34,,,,,X,,,,X,,,,,,
o35,,,,,,X,,,,,,,,,
o36,,X,X,,,,,,X,,X,,,,X
o37,X,,,,,,,,,X,,,X,,
o38,,,,,,,,,,,,,,,
o39,,X,,,X,X,,,,X,,X,,,
