,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26
o0,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o9,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,X,,,,,,X,,,,,,,X,,,,,,
o15,,,,X,,,,,,,,,,,,,,,,,,,,,,,
o16,,,X,,,X,,,,,,,,,,X,,,,,,,,,,,
o17,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,
o18,,,,,,X,,,,,,,,,,,,,,,,,,X,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o22,,,,,,,,,X,,,,,X,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,X,,,,,,,,,,,,,,,,,,X,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,,,,
o27,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,X,
o29,,,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,X,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o36,,,,,,,,X,,,,,,,,,,,,X,,,,,,,
o37,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,X,,,,,,,X,,,,,
o40,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o42,,,,,,,,X,,,,,,,,,X,,,,,,,,,,
o43,X,,,,,,,,,,,,,,,,,,X,,,,,,X,,X
o44,,,,,,,,,,,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,X,,,,X,,,,,,X,,X,,,,,,,,,,,,,
o49,,X,,,,,,,,,,,,,,X,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,X,,,,,,,,,,,X
o52,,,,,,,,,,,,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o54,,,,,,,,,,,,,,,,,,,,,,,X,,,,
o55,,,,,,,,,,,,,,,,,,,,,,X,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,,,,,
