,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,X,,,,,
o1,,X,,,,,,,,
o2,,,X,,,,,X,,
o3,X,,,,,,X,,,
o4,,,,,,,,,X,
o5,,,,,,,,,,X
o6,,,,,,,,,,
o7,,X,X,,X,X,,X,,X
o8,,,,,,,,,,
o9,,X,,,,,X,,,
o10,,,X,,X,X,X,,,
o11,,,X,,X,X,,,,
o12,,,,,,,,X,,
o13,,X,,,X,,,,,
o14,,,,,,,,,X,
o15,X,,X,,,,,,,
o16,,,,X,,,,X,,
o17,,,,,,,X,,,X
o18,,,,X,,,,,,
o19,,,,,,,,X,,
o20,X,,,,,,,,,
o21,X,X,,X,,,,,,
o22,,X,,,,X,,,,
o23,,,,,,,X,,X,
o24,,,,,,,,,,
o25,,,,,,,,,,
o26,,,,,,,,X,,
o27,,,,,X,,,,,
o28,,,,,X,,,,,X
o29,,,,,,,,,X,
o30,,,,,,X,,,,
o31,,,X,,,,,,,
o32,,,X,,,X,,X,,
o33,,,,X,,,,X,,
