,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,X,,,,,,,,,,,,X,,
o1,,X,,,,X,,,,X,,,,,,X,,X
o2,,,,,,,,X,,X,,,,,,,,
o3,,,,,X,,,,,,,,,,,X,,X
o4,,,,,,X,,,,,,,X,X,,,,
o5,,,,,,,,,,,,,,X,,,,
o6,,X,X,,,X,,,X,,,,,,,,X,
o7,,,,,,,,,,,,,,,,,X,
o8,,X,,,,,,,,,,,,,,,,
o9,,,,,,,,,X,,,,,,,,,
o10,X,,,,,,,,X,,,,,,,,,
o11,,X,,,X,,,,,X,,,X,,,,,
o12,,X,,,,,,,,,,,,X,,,,
o13,,,,,,,,,,X,,,,,X,,,
o14,,,,,X,,,,,,,,,,,,,
o15,,,X,,,,,,,,,,,X,,,,
o16,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,X,,,,,,,,,
o18,,,,,X,,,,,,,,X,,X,,,
o19,,,X,,,,,,,X,,,,,,X,,
o20,,,,,,,,,,,,,,,X,X,,
o21,,X,,,,X,,,,,X,,,,,,,
o22,,,,,,,,,,X,,,,,,,,
o23,X,,,,,,,,,,,X,,X,,,,
o24,,,,,,,,,,,,,,X,,,,
o25,,,,,,,,X,,,,,,,,,,
o26,,,X,,,,,X,,,,,X,,,,,
o27,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,X,,,,,,,
o29,,,,,,X,,X,,,,,,,,,,
o30,,,,,X,X,,,,,,,,,,,,
o31,,,,,,X,,X,,,,,X,,,,,X
o32,,,,,,,X,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,
o34,,,,,,,,X,,,,,,,,,,
o35,,,,,,,,,,,,,,,X,,,
o36,,X,,,,,,,,,,,,,X,,,X
o37,,,,,,,,,,,,,X,X,,,,
o38,,,,,,,,,,,X,,,,,,,
o39,,,X,,,,X,X,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,X
o41,,,,,,,,,,,X,X,,X,,,,
o42,,X,,X,,,,,,,,,,X,,,X,
o43,,,,X,,,X,,,,,,,,,,,
o44,,,X,,,,,,,,,,,,,X,,
o45,,X,,,,,X,,,,,,,,,,,
o46,,,,,,,X,,,,,,,,,,,
o47,,,,X,,,,,,,,,,,,X,,
o48,,,,,,,,,X,,,,,,,X,,
o49,,,,,,,,,,,X,,,,,,,
o50,,,,,,,,,,,,,,,,,X,
o51,,,,,,,,,,,,,X,,,,X,
o52,X,,X,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,X,,,,,
o54,,,,,,,,,,,,,,X,,X,,
o55,,,,,,X,,,X,,,,,,,,,
o56,,,,,,,,,,,,,,,,,X,
o57,,,,,,,,,,X,,,,,X,,,
o58,,,,X,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,,,
o60,,,,,,,,,,,,X,,,,,,
o61,X,,,,,,,,,,,,,,,,,X
o62,,,,,,,,,,,,X,X,,,,,
o63,,,,,,,,,,,,,X,,X,,,
o64,,,,,,X,,,,,,,,,,,,X
o65,,,,,X,X,,,,,,,,X,,,,X
o66,,X,,,,,X,,,,,,,,X,,,
