,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,X,,,X,,X,
o1,X,X,,,,X,,,X,X,
o2,,,,,,X,,X,,,
o3,,,,,,,,,,,X
o4,,,,,,,,X,X,,X
o5,,X,,,,,,,,,
o6,,X,,,,,,X,X,X,
o7,,,,,,,,,,,
o8,,,,X,,,,,,,
o9,X,,,X,,,X,,,,
o10,,,,X,,,,,,,
o11,X,,,,,,,X,,,X
o12,,,X,,,X,X,,,,
o13,,,X,,,,,,,,
o14,,X,X,,,,,,,X,X
o15,,,,,X,,,,X,,
o16,,,X,,X,,,X,X,X,
o17,,X,,,X,,,,,X,
o18,,X,,,,X,,,,X,X
o19,,,,,,,X,X,,,X
o20,,,X,,,,,,X,,
o21,,,X,,,X,,,,,X
o22,,X,X,,X,X,,,,,
o23,,,X,,,X,,,,,X
o24,X,X,,X,X,,,,,,
o25,,X,,,,,X,,,,
o26,,,,,,X,,,X,,
o27,,,,,X,X,,,,,
o28,,X,,X,,X,,X,X,X,
o29,X,,,X,,,X,,,X,
o30,,,,X,,,,,X,,
o31,X,,X,,,,,,,X,X
o32,X,,,X,,,,,X,,
o33,,X,,,X,X,,X,,,
o34,,,,,,,,X,,,
o35,,X,X,,X,,,X,,,
o36,,,,,,X,X,,,,
o37,X,,,,X,,,,X,,
o38,,,X,,X,,,,,,
o39,,,,,,,,X,,,
o40,,X,,,,,,,,,
o41,,,X,,,,X,,,,X
o42,,,,,,,,,,,
o43,,,,,,,,,X,,
o44,,,,,,,,,X,,
o45,,,,X,,X,,,X,,X
o46,,,,,X,,,,,,
o47,,,,,,X,,,,X,
