,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,X,,X,,,X,,,
o1,,X,,,,,,,,
o2,,,X,,,,,,,
o3,,,,,,,,,,
o4,,X,,,,,,X,,X
o5,,,,,,X,,,,
o6,,,,,,,X,X,,X
o7,,,,,X,X,,,,
o8,,,,,,,,,,X
o9,X,,,X,,,,,,
o10,,,X,X,,,,,,
o11,,X,X,,,,,,,
o12,,,,,,X,X,,,
o13,,,,,,,,,X,
o14,,,,,,,,,,
o15,,,,,,,,,,
o16,,,,,,X,,,X,X
o17,,,,,,,,,,
o18,X,,,,,,,,,X
o19,,,X,,,,,,X,
o20,X,,,,,,,,,
o21,,,,,,,,,,
o22,,,,X,,,,X,,
o23,,X,,,,,,,,
o24,X,,,,,,,,,
o25,,,,X,,,X,,,
o26,,,,,,,X,,,
o27,X,,,X,,,,,,
o28,,,,,,X,,,,
o29,,,,X,,,,,,
o30,,,,,X,,,,,
o31,,,,,,,,,X,
o32,,,,,,,,,,
o33,,,X,X,,,,,X,
o34,,X,,,,,,,,
o35,,X,,,,,,,,
o36,,,,,,,,,,X
o37,,,,,,,,,,
o38,,,,,,,,,X,
o39,,,,,,X,X,,,X
o40,,,,,X,,,,,
o41,,,,,,,,,,
o42,,X,,X,,,,,X,
o43,,,,,,,X,,,
o44,X,,,,,,,,,
o45,,,X,,,X,,,,
o46,,,,X,,,,,,
o47,,,,X,,,,,,
o48,,,,,,,,,,
o49,,,,,,,X,X,,X
o50,,,,,X,,X,,,
o51,,,,X,,,,,,X
o52,,,X,X,,,,,,
o53,,,,,,X,,,,
o54,,,,,,,,,,X
o55,,,X,,X,X,,X,,
o56,,,,X,,,,,,
o57,,,,X,,,X,,X,
o58,,X,,,,,,,X,X
o59,,,,,,,X,,,
o60,,,,,X,,,,,
o61,,,,,,,X,,,
o62,,,X,,,,,,,
o63,X,,,,,,X,,,
o64,,,,X,,,,X,,
o65,,,,,,X,X,,,X
