,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26
o0,,,,,,,,,,,,,,,,,,,,,X,,,,,,
o1,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,X,,,X,,,,,,,,,,,,,,,,,,,
o6,X,,,,,,,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,X,,,,,,,,,,,,,X,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o13,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o18,,,,,,,,,,,X,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o21,,,,,,,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,X,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o26,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,X,,,,,,,,X,,,,,,,,,,
o28,,,,,,,,X,,,,X,,,,,,,,,,,,,,,
o29,,,,X,,,,,,,,,,,,,,,,,,,,,,X,
o30,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,X,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,X,,,,,,,,,
o34,,,,,X,,,,,,,,,,,,,,,,,,,,,X,
o35,,,,,,,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,X,,,,,,,,,,,
o37,,,,,,X,,,,,,,,,,,X,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o41,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o44,,,,,,,,,,,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,,,,,,,,,,,,
o46,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,X,,,,,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o51,,,,,,,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,X,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,,,,,
o57,X,,,,,,,,X,,,,,,,,X,,,,,,,X,,,
o58,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o59,X,,,,,,,,,,,,,,,,,,,,,,,,,X,
o60,,,,,,,,,,,,,,,,,,,,,,,,,,,X
o61,,,,,,,,,,,,,,,,,,,,,,,,,,,
o62,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
o63,,,,,,,,,,,,,,,,,,,,,,,,,,,
o64,,,,,,,,,,,,,,,,,,,,,,,,,,,
o65,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o66,,,,,,,,,,,,,,,,,,,,X,,,,,,,
o67,,,,,,,,,,,,,,,,,,,,,,,,,,X,
