,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,,,,,,
o1,,X,,X,,,,,,
o2,,,,,,,,,,
o3,,X,X,,,,,,X,
o4,,,,,,,,,,
o5,,,,,,,,,,
o6,,,,X,,,,,,
o7,,,,,,,,,,
o8,,X,,,,X,,,,
o9,,,,,,,,,,
o10,,X,,,,,,,X,
o11,,,,,,,,X,,
o12,,X,,,,,,,,
o13,,X,,,,,,,,
o14,,,,,,,,,,
o15,,,,,,,,,,X
o16,,X,X,X,X,,,,,
o17,,,,,,X,,,X,X
o18,,,,,X,,,,X,X
o19,,,,,,,X,,,
o20,,X,,,,,,,,
o21,,,,,,,,X,,X
o22,,X,,,,,,,,
o23,,,X,,,,,X,,
o24,,,,,,,,,,
o25,,,,,,X,,,,
o26,,X,,,,,,,,
o27,,,,,,,,,,
o28,,,X,,,,,,,
o29,,,,,,,,X,,
o30,,,,,,,,,,
o31,,,,X,,,,,,
o32,,,,,,,,,,X
o33,,X,X,,,,,,,
o34,,,,,,,,,X,
o35,,,,,X,,,X,,
o36,,X,,,,,,,X,
o37,,,,,,,,,,X
o38,X,,,,,,,,,
