,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,,,,,,,,,X,,,,,
o1,,,,,,,,,X,,,,,,,,,
o2,,,,,,,,,,,,X,,,,,,
o3,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,X,,,,,,,
o5,,,,,X,,,,X,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,
o7,,,X,,,X,,X,,,,,,,,,,
o8,,,,,,,,X,,,,,,,,,,
o9,X,X,,,,,,X,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,X,,,,
o14,,X,,,X,,,,,,,,,,,,,
o15,,,,,,,,,,,X,,,,,,,
o16,,,,,,,,,,,X,,,,,,,
o17,,,,,,,,,,,,,,X,,,,
o18,X,,,,,X,,,,,,,,,,,,
o19,,,,,X,,,,,,,,,,,,,
o20,,,,,X,,,,,,,,,X,,,,
o21,,,X,,,,,,,X,,,,,,,,
o22,,,,X,,,,,,,,,,X,,,,
o23,,,,,,,,,,,,,,,X,,,
o24,,,,,,,,,,,,,,,,,X,
o25,,,,,,,,,,,,,X,,,X,,
o26,,,,,,,,,,,X,,,,,,,
o27,,,,,,,,,,,,,,,,,X,
o28,,,X,,,X,,X,X,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,X,,,,,,,,
o31,,,,,,,,,,,,,,,,,,
o32,,,,X,,,,,,,,,,X,,,,X
o33,,,,,,,,,,,,,,,,,,X
o34,,,,,,,,,,,,,,X,,,,
o35,,,X,,,,,,X,,,,,,,,,
o36,,,,,,,,X,,,,,X,,,,,
o37,,,,X,,,,,,,,,,,,,,
o38,,,,,,,,,X,,,,,,,,X,
o39,,,X,,,,,,,,,,,,,,,
o40,,,,,X,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,X,,
o43,,,X,,,,,,,,,,,,,,,X
o44,,,,,,,,,,,,,,,,,,
