,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
o0,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,
o4,,X,,,,,,,,,,,,
o5,,,,,,X,,,,,,,,
o6,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,
o9,,,X,,,,,,,,,,,
o10,,,,,,,,,,,,,X,
o11,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,
o14,,,,,,,X,,,,,,,
o15,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,
o17,,,,,X,,,,,,,,,
o18,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,
o21,,,,X,,,,,,,,,,
o22,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,
o25,,,,,,,,,X,,,,,
o26,,,,,,,,,,,,X,,
o27,,,,,,,X,,,,,,,X
o28,,,,,,,,,,,,,,
o29,,,,X,,,X,,,,,,,
o30,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,
o33,,,,,,,X,,,,,,,
o34,,,,,,,,X,,,,,,
o35,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,
