,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,X,,,X,,,,,
o1,X,,,X,,,,X,X,X
o2,X,X,,,,X,,,,
o3,,,,,,,,,,
o4,,,,X,X,,,,,
o5,,,,,,,,,X,
o6,,,X,,,,,,X,
o7,,,,,,,,,,
o8,,X,,,,,,,,
o9,X,,,X,,X,,,,
o10,,,,,,,,,,
o11,X,,,,X,,,,,
o12,,,,,,,,,X,X
o13,,,,,,,,X,X,
o14,,,,,,X,,,,X
o15,,,,,X,,,,X,
o16,,X,,,,X,,,,X
o17,,X,,X,X,X,,,,X
o18,X,,X,,,X,,,,
o19,X,,,,,,,,,
o20,,,,,,,,X,,X
o21,,,,,,,,,,
o22,,,,,,,,X,X,X
o23,,,,X,,,,,,
o24,X,,,,X,,,X,,
o25,,,,,,,,,,X
o26,,,,X,,,,,X,
o27,X,,,,,,,,,
o28,,,,,,,,,,X
o29,,,,,,,,,,
o30,,,,,,,,,,
o31,,X,,X,,X,,,,
o32,X,X,,,,,,,X,
o33,,X,,,,X,,,X,
o34,X,,,X,,,,,,
o35,,,,,,,,,X,
o36,,,,,X,,,,,
o37,,X,,,,,,,,X
o38,,,X,,,X,,,,X
o39,,,,,,,,,X,
o40,,,,,,,X,,,
o41,X,,,,,,,X,,
o42,,,,,X,,,,,
o43,,,X,,,,,,,X
o44,,,,X,,,X,X,,
o45,,X,X,,X,,,,,
