,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,,,,,X,,,,,,
o1,,,,,,,,X,,,,X,
o2,,,,,,,,,,,,,
o3,,,,X,,,,,,X,,,
o4,,,,,,,X,,,,,,
o5,,,,,,X,,,,,,,
o6,,,,,,,,,,,,,
o7,,,X,,,,,,,,,,
o8,,,,,X,,,,,,,X,
o9,,,,,,,,,,,,,
o10,,,,,,,,,,,,,
o11,,,,,,,,,,,,,
o12,,,,,,,,,X,,,,
o13,,,,,,,,,,,,,
o14,X,X,,,,,,,,X,,,
o15,,,X,,,,,,,,,,
o16,,,,,,X,,,,,,,
o17,,X,,,,,,,,,,,
o18,,,,,X,,,,,,,,
o19,,,,,,,,,,,,,
o20,,,,,,,,,X,,,,X
o21,,,,,,X,,,,,,,
o22,,,,,,,,,,,,,
o23,,,,,,,,,,,,,
o24,,,,,,,,,,X,,,
o25,X,,,,,X,,,,,,,
o26,,,,,,,X,,,,,,
o27,,,,,,,,,,,,,
o28,X,,,,,,,,,,,,
o29,,,X,,,,,,,,,X,
o30,,,,,,,,,,,,,
o31,,,,,,,,,,,,,
o32,,,,,,,,,,X,,,
o33,,X,,,,,,,,X,,,
o34,,,,,,,,,,,,,
o35,,,,,,,,,,,,,
o36,,,,,X,,,,X,,,,
o37,,,,,,,,X,,,,,
o38,,,,,X,,,,,,,,X
o39,,,,,,,,,X,,,,
o40,,,,,,,,,,,,,
o41,,,,,,,,,,,,,
o42,,,,,,,,,,,X,,X
o43,,,,,,,,,,,X,,
o44,,,,,,,,,,,,,
o45,,,,,,,,,,,,,
o46,,,,,,,,,,,,,
o47,,,,,,,,,,,,,
o48,,,,,,,,,,,,,
o49,,,,,,,,,,,,,
o50,,,,X,,,,,,,,,
o51,,,,,X,,,,,,,X,
o52,,,,,,,,,,,,,
o53,,,,,,,,X,,,,,
o54,,,,,X,,,,,,,,
o55,,,,,X,,,,,,,,
o56,,,,,,,,,X,,,,
o57,,X,,,,,,X,,,,,
o58,,,,,,,,,,,,,
o59,,,,X,,,,,,,,,
o60,,,,,,,X,,,,,,
o61,,,,,,,,,,,,,
o62,,,,,,,,,,,,,
o63,,,,,,,,,,,,,
o64,,,,,,,,,,,,,
o65,,,,,,,,,,,,,
o66,,,,,X,,,,,X,,,
