,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,X,,,X,X,,
o1,X,X,,,,,,,,,,
o2,,X,,,,,,,,,,
o3,X,X,X,,,,,,X,,X,
o4,,,,,X,X,,,,,,
o5,X,,X,X,,,,,,,X,
o6,X,,X,,X,,,,,,,X
o7,,,,,,,,X,,,,
o8,,,,,X,,,X,,,,X
o9,,,,,,,,,,,,X
o10,X,,,,,,,,,,,
o11,,,,,,X,,,,X,,
o12,,X,X,X,X,,,,,,,
o13,,X,,,,,,,,X,,
o14,X,,,X,,X,,,,,,
o15,,,X,X,,,X,,,,,
o16,,,X,,,X,,,X,,,
o17,,,,,,,X,,,,,
o18,X,,X,,,,,X,X,,,
o19,,,,X,,X,,,,,X,
o20,,,,,,X,,,,,,
o21,,,,,,,,X,,,,X
o22,,,,,X,,,,,,,
o23,X,,,X,,,,,,,,
o24,,,,,,,,,,,,
o25,,,,X,,,,,,,,
o26,,,X,,,,,,,,,
o27,,X,,,,,,,X,,,
o28,,,,,,,,,,X,,
o29,,,,,,X,,,,,X,
o30,,,,,X,,,,,,,
o31,,,,,,,,,,X,,X
o32,,,,X,,,,,,,,
o33,,,,,,,,,X,,,
o34,,X,,,,,,,,,X,
o35,,,,,X,,X,,,,,X
