,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,X,,,,,,,X,,X
o1,,,X,,,,,,,,
o2,,,X,,,X,,,,,
o3,X,,,,,,X,,,,
o4,X,,,,,X,,X,,X,
o5,,,,X,,X,,,,,
o6,,,,,,,X,,X,,X
o7,,,,,,,,,,,X
o8,,,,X,,,,,,,
o9,X,,,,,X,,X,,X,
o10,,,,,,,X,,X,X,
o11,,,,,,,,X,,,
o12,X,,,,,,,,,,
o13,,,,,,,,,,,
o14,,,,,X,,,X,,,
o15,,,,,X,,,,,,
o16,,X,,,,X,,X,,,
o17,,,,,,,X,X,,,
o18,,X,,,,,,,,,X
o19,X,,X,X,,,,,,,
o20,,,,,X,X,,X,,,
o21,,,X,,,,,,,,
o22,,X,,,,,,,,,
o23,,X,,,,,,X,,,
o24,,X,X,,,,,,X,,X
o25,X,,X,,X,,,,,,X
o26,,X,,,X,,X,,,X,
o27,,,,,,,X,X,,,
o28,,,,,,,,,,X,
o29,,,,,,,X,,,,
o30,X,,,,,,,,,,
o31,,,,,,,X,X,X,,
o32,,X,X,,X,,,,,,X
o33,,,X,,,,X,,X,,
o34,,,,X,,,,X,,X,
o35,,,,,,X,,,X,,
o36,,,,,,,,,,,
o37,X,,,,,,,,X,,
o38,,X,,,,,,,X,,
o39,,,X,,,X,,,X,,
o40,,,,X,,,,,X,,
o41,X,,,,X,,X,,,,
o42,,,,,,,X,X,,,
o43,,X,,,,,X,X,,X,
o44,,,,,,,,X,,,
o45,,,,,,,,,,,X
o46,,,,,X,,,,,X,
o47,,,,,,X,X,,,,
o48,,,,,,,,X,,X,
o49,,X,,,,X,X,,,,
o50,X,,,,,,,,,,
o51,,,X,X,,,,X,,,
o52,,,,,,,,X,,,
o53,X,,X,X,,,,X,,,
o54,,,,,,,,,X,,
o55,,,,,,,X,,,X,
o56,,,X,,,,,,,,X
o57,,,,,,,,,,,
o58,X,X,X,,X,,,X,,X,
