,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24
o0,,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,X,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,X,,,,,X
o4,,,,,,,,,,,,,,,,,,,X,,,,,,
o5,,X,,,,,,,,,,,,,,,,,,,,X,,,
o6,,,X,,,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,X,,,,,,,,,,,,
o8,,X,,,,,,,,,,X,,,,,,,,,,,,,
o9,,,,,X,X,,,,,,,,,,,,X,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,X,,,,,X,,,,,,,,,,,,,,X,,,
o13,,,,,,,,,,,,,,,,,,,,,,,,,X
o14,,,,,,,,,,,,,,,,,,,,X,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,X,,,,,,X,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,X,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,X,
o20,,,,,,,,,,,,,,,,,,,,,,,,,
o21,,X,,X,,,,,,,,,,,,,,,,,,,,X,
o22,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,X,,,,,,
o25,,,,,,,,,,,,,,X,,,,,,,,,,,
o26,,,,,,X,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,X,
o28,,,,,,,,,,,,,,,,,,,,,,,,X,X
o29,,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,X,,,,,,,,,,,,,,,,,,X
o31,,,,,,,,,,,,,,,,,,X,,,,,X,,X
o32,,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,X,,,,,,,,,,,,,,X,,,,,X,,,
o35,,,,,,,,,,,,,,,X,,,,,,,,,,
o36,,,,,X,,,,,,,,X,,,,,,,,,X,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,,X
o38,,,,,,,,,,,X,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,X,,,,
o41,,,X,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,X,,,,,,,,,,,,,
o43,,X,,,,,,,X,,,,X,,X,,,,X,X,,,,,
o44,,,X,,,,,,,,,,,,,,,,,,,,,,X
o45,,,,,,,,,,,,,,,,,,,,,,,,,
o46,X,,,,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,X,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,X,,,,,,,,,,,X,,,
o50,,,,,,X,,,,,,,,,,,,,,,,,,,
o51,,,X,X,,,,,,,,,,,,,,,,,,,X,X,
o52,,,,,,,,,,,,,,,X,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,,,,,X
o54,,,,X,,,,X,,,,X,,,X,,,,,,,X,,,
o55,,,,,,,,,,,,,,,,,,,,,,,,X,X
o56,,,,,,X,,X,,,,,,,,,,,,,,,,,
o57,,,,,,,,X,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,,,,,
o59,,,,,,,,,,,X,,,,,,,,,,,,,,
o60,,,,,,,,,,,,,X,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,,,,X,X,X,,,,,
o62,,,,,,,,,,,,,,,,,,,,,,X,,,
o63,,,,,,,,,,,,X,,,,,,,,,X,,,,
o64,,,,,,,,X,,,,,,,,,,,,,,,,,
o65,,X,,,,,,,X,,,,,,,,,,,X,,,,,
o66,,,,,,,,,,,,,,,,,,X,,,,,,,
o67,,,,,,,,,,,,,,,,,,,,,,,,,
