,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,X,X,,X,,,,,,X
o1,,,,,X,X,,,,,
o2,,,,,,,,,X,,
o3,,,,,,X,,,,,
o4,,,,,,,,,,,
o5,,,,,,,X,,,,
o6,,,,,,,,,X,,
o7,,X,X,X,,,,,,,
o8,,,,,,X,,,,,
o9,X,,,,,,,,,,
o10,,,,,X,,,,,,
o11,,,X,,X,,,,,,
o12,,,,,X,,,,,,
o13,,,X,,,,,,,X,
o14,,,,X,,X,X,,,X,
o15,,,,,,,,,,,
o16,,,,,X,,X,,,,
o17,,,,,X,,,,,,
o18,,,,,,,,,,,
o19,,X,,,,,X,,,,
o20,,,,,,,,,,,
o21,,,,,,,,,X,,
o22,,,,,,,,,,,
o23,X,,,,,,X,,,,
o24,,X,,,,,,,,,
o25,,,,X,,X,,,,,
o26,,,,,X,,,,X,,
o27,X,,,,X,X,X,X,,,
o28,,,,,,,X,X,,,
o29,,,X,,,,,,,,
o30,,,,X,,,X,,,,
o31,,,,,,X,,,,,
o32,X,,,,,,X,,,,
o33,,,X,,,,,,,,
o34,,,,,X,,,,,,
o35,,,,,,,,X,,,
o36,,,,,,X,X,,,,
o37,X,,,,,X,,,,,
o38,,,,X,X,,,,,X,
o39,,,X,,,X,,,X,X,
o40,,,,,,,,,,,
o41,,,X,,,,,,,X,
o42,X,,,X,,,,,,,
o43,,,,,,,,,,,X
o44,X,,,,,,,,,,
o45,,,,,,,,,,,
o46,,,,,,,,,,,
o47,,,,,,,,,,,
o48,,,X,X,,,,,,,X
o49,,X,,X,,,,,,,
o50,,,X,,,,,X,X,X,
o51,,,,,,,,,,X,
o52,,,,X,,,,,,,
o53,,,X,,,,,,,X,X
o54,,,X,,,X,,,,,
o55,,,,,,,,,,,X
