,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,X,X,,,
o2,,X,,,,,,,,X,,,,,,X,,
o3,,,,X,,,,,,X,,X,,,,,,
o4,,,,,,,,,,,,,,,,,,
o5,,,,,,,X,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,X,,,,,X
o8,,X,X,,,,,,,,,,,,,,X,
o9,,X,,,,,X,,,,,,,,,,,
o10,,,,,,,,,,,X,X,,,,X,,
o11,,,,,,,,,,,,,,,X,,,
o12,,,,,,,,,,,,,,X,,,,
o13,,X,,,,,,X,,,,,,,,,,
o14,,,,,,,X,,,,X,,,,X,,,
o15,X,,,,,,,,,,,,,,,,,
o16,,,,,,,X,,,,,,,,,,,
o17,,X,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,X,,,,,
o19,,,X,,,,,,,,,,,,,,,
o20,,X,,,,,,X,,,,X,,,,,,
o21,,,,,,X,,,,,,X,,,,,,
o22,,,,,,,,,,,X,,,,,,,
o23,,,,X,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,
o25,,,,,X,,,X,,,,,,,X,,,
o26,,,,,,,,,,,,,,,,,,
o27,,,,,X,,,,X,,,,X,,X,,,
o28,,,,,X,,,,,,,,,,,,,
o29,X,X,,X,,,,,,,,,,,,,,
o30,,,,,,,,X,,,,,,,,,,
o31,X,,X,X,,,,,,,,X,,,,,,
o32,,,,X,,,,,,,,X,X,,X,,,
o33,,,,,,X,,,,,X,,,,,,,
o34,,,,,,X,,,,,,,X,,,,X,X
o35,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,X,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,
o38,X,,,X,,,,,,,X,X,,,,,,
o39,,,,,,,,,,X,,,,,,,X,
o40,,X,,,,,,,,,,,X,,,,,
o41,X,,,X,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,
o43,,,,,,,,X,,,,,,,,,X,
o44,,X,,,,X,,,,,,,,,,,,
o45,,,,,X,,,,,X,,,,,,,,
o46,,,,,,,,,X,,,,,,X,,,
