,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,,,,,,,,,,X,
o1,,,,,,,,X,,,,,
o2,,X,,,,,,,,,,,
o3,X,,,,,,,,,,,,
o4,,,,,,,,,,,,,
o5,X,,,,,,,,,,,,
o6,,,,,,,X,X,,,,,
o7,,,,,,,,,,,,,
o8,,,,,,,,,,,X,,
o9,,,,,,,,,,X,,,
o10,,,,,,,,,,,,,
o11,,,,,,,,,,,,,
o12,,,,,,,,,,,X,,X
o13,,,,,,,X,,,,,,
o14,,,,,,,,,,,X,,
o15,,,,,,,,,,,,,
o16,,,,,,,,,X,,,,
o17,,,,,,,,,,,,,
o18,,,X,,,,,,,,,,
o19,,,X,,,,,,,,,,
o20,,,,,,,,,,X,,,
o21,,,,,,,,,,,,,
o22,,,X,,,,,,,,,,
o23,,,,,,,,,,,,,
o24,,,,,,,,,X,,,,
o25,,,,X,,,,,,,,,
o26,,,,,,,X,,,,,,
o27,,,,,,,,,,,,,
o28,,,,X,,,,,,,,,
o29,,,,,,,,,,X,,,
o30,,,,,X,,,,,,,,
o31,,,,,,,,,,,,,
o32,,,,X,,,,,X,,,,
o33,,,,,,,,,,,,,
o34,,,,,,,,,,,,,
o35,X,X,,,,,,,,,,,
o36,,,,,,,,,,,X,,
o37,,,,,,,,,,,,,
o38,,,,,,,,,,,,,
o39,,,,,X,,,,,,,,
o40,,,,,,,,,,,,,
o41,,,,,,,,,,,,,
o42,,,,,X,,,,,,,,
o43,,,X,,,,,,,,,,X
o44,,,,,,,,,,,,,
o45,,,,,,,,X,,,,,
o46,X,,,,,,,,,,,,
o47,,,,X,,,,X,,,,,
o48,,,,,,,,,,,,,
o49,,,,,,,,,,,,,
o50,,,,,X,,,,,,,,
o51,,,,,,,,,,,,,
o52,,,,,,X,,,,,,,
o53,X,,X,,,,,,,,,,
o54,,,,,,,,,,,,,
o55,X,,,,X,X,,,X,,,,
o56,X,,,,,,,,,,,,
o57,,,,,,,,,,,,,
o58,,,,,,,,,,,,,
o59,,,,,X,,,,,,,,
o60,,,,,,,X,,,,,,X
o61,,,,,,,,,,,,,
o62,,,,,,,,,,,,,
o63,,,X,,,,,,,,X,,
o64,,,,,,,,,,,,,
o65,,,,,,,,,,,,,
o66,,,,,,,,,,,,,
o67,,,,,,,,,,,,,
