,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,,,,,,,,,,,,,,X
o1,,,,,,,X,,,,,,,,,,,
o2,,,,,X,,,,,,X,X,,,,,,
o3,X,,,,X,,,,,,,,,,,,,
o4,X,X,X,,X,,,,X,,,,,X,,,,
o5,,,,,,,,,X,,,,X,,,,X,
o6,,,,,,,,,,X,,,,,,,,X
o7,,,X,,,,,,,,X,,,,,,,
o8,,,,X,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,X,,,,,X
o10,,,,,,,,,,,X,,,,,,,
o11,,,,,,,X,X,,,,,,,,,,X
o12,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,
o14,,,X,,,,,,,,,,,,,,,X
o15,,,,,,,,,X,,,,,,,,,
o16,,,,X,,,,,,X,,X,,,,,,
o17,,,,,,,,,,,,,,,,,,
o18,X,,,,,,,,,,,,,,,,X,
o19,,,,,,,,,,,,,,,,,,
o20,,,,,,X,X,,,,X,,,,,,,
o21,,,,X,X,,,,,X,,X,,,,,,
o22,,,,,X,X,,,,,,,,,,,,
o23,,,,,,,,,,,,X,,,,,,
o24,,,,,,,,,,,,,,,,,,
o25,,X,,,,,,,X,,,,X,,,,,
o26,,,,,,,,,,X,,X,,,,,X,
o27,,,,,X,,,,,,,,X,,,,,
o28,,,,,X,,X,,X,,,,,,,,X,
o29,,,,,,,,,,,,,,X,,,,
o30,,,,,,,,,X,,,,,,,,X,
o31,,,X,,,X,,,,,,,,X,,,X,
o32,,,,,,,,,,,,,,X,,,,
o33,,,,,,,,,,,X,,,,,,,
o34,,,,,,,,,,,,,,,,,,
o35,X,,,,,,,,X,,,,,X,,,,
o36,,,,,,,,,,,,,,X,X,,,
o37,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,X,,,X,,
o40,,,,,,,,,,,,,,,,,,
o41,,,,X,,X,X,,,,,,,,,,X,
o42,X,,,,X,X,,,,X,,,,,,,,X
o43,,,,,,,,,,,,,,,,,,
o44,X,,,,,,,,,,,,,,X,,,
o45,,,,,X,,,,,,,X,,,,,,
o46,,,,,,,,,,,,,,,,,,
o47,,,,,,,X,,,,,,,X,,,,
o48,,,,,,,X,X,,,,,,,,,,
o49,X,,,,,,,,,,,,,,,,,
o50,,,X,,,,,,,,X,,,X,,,,X
o51,,,,,,,,,,,X,,,,,,,X
o52,,,,,,,,,,,X,,,,,,,
o53,,,,,,,X,X,,,,,,,,,X,
o54,,,,,,,X,,,,X,X,,,,,,
o55,,,,,,X,X,,,,,,,,,,,
o56,,,,,,,,,,,,,X,,,,,
o57,,,,,,,,,,,,,,,,,,
o58,X,,,,,,X,,X,,X,,,,,,,
o59,,,,X,,,,,,,,,,,X,X,,
