,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,,,,,,,X,,,,X,,
o1,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,
o7,X,,,,X,,,,,,,,,,
o8,,,,,,,,,,,,,,,
o9,,,,X,,,,,,,,,X,,
o10,,,,,,X,,,,,,,,,
o11,,,,,,,,,,,X,,,,
o12,,,,,,,,,,,,,,,
o13,,,,,,X,,,,,,,,,X
o14,,,,,,,X,,,,,,,,
o15,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,
o27,,,,,,X,,,,,,,,,
o28,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,
o30,X,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,
o36,,,,,,,,,X,,,,,,
o37,,,,,,,,,,,,X,,,
o38,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,
o42,,,,,,,,,X,,X,,,,
o43,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,
o46,X,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,X
o48,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,
o55,,,,,,X,,,,,,,,,
o56,,,,,,,X,,,,,,,,
o57,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,
o60,,,,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,
o62,,,,,,,,,,,,,,,
o63,,,,,,,,,,,,,,,
o64,,,,,,,,,,,,,,,
o65,,,,,,,,,,,,,,,
o66,,,,,,,,,,,,,,,
o67,,X,,X,,,,,,,,,,,
