,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,,,,,,,,,,,X
o1,,X,,,X,,,,,,,,
o2,,,,,X,,,,,,,,
o3,,,,,,,,,,,,,
o4,,,X,,,,,X,,,,,
o5,,,,,X,,,,,,,,
o6,X,,X,,X,X,,,,,,,X
o7,,,,,,,,,,,,,
o8,,,,,X,,,,,,,X,
o9,X,,,,,,,,X,X,,,
o10,,,,X,,,,,,,,,
o11,,,,X,X,,X,,,,,,X
o12,,,,,,,X,,,,,X,
o13,,,,,,,,,X,,,,X
o14,,X,,,,,,,,X,,,X
o15,X,,,,X,X,,X,,,,,
o16,,,,,,,,,,,,,
o17,X,,,X,,,,X,,,,X,
o18,,,X,X,,,,,,,,,
o19,,,,,X,X,X,,,,,,
o20,,,,,X,,X,,,,,,
o21,,,,,X,,,,,,X,,
o22,,,,X,,,,,,,,,
o23,,,,,,,,,X,,,,
o24,,,,,,,,,,,,,
o25,,,,,,,,,,X,X,,
o26,,,X,X,,,X,,,X,,X,
o27,,,,,,,X,X,,,,X,
o28,X,,,,,,,,,,,,X
o29,,X,,X,,X,,,,,,,
o30,,,,,,,X,,,,,,
o31,X,,,X,X,,,,,,,,
o32,,,,,,,X,,,,,,
o33,,,,X,X,X,,X,,,X,,X
o34,,X,X,,,,,X,,,,,X
o35,,X,,,X,,,,,,,,X
o36,X,,,X,,X,,,X,,X,,
o37,,,,,,,,X,,X,,,
