,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,,,,,,X,,,X,,,,
o1,,,,,,,,,,,,,X,,,
o2,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,X
o4,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,X
o6,,,,,,,,,,,,,,X,,
o7,,,,,,,,,,,,,,,,
o8,,,,X,,,X,,,,,,X,,,
o9,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,X,,,
o11,,,X,X,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,
o14,,,,,,X,X,,,,,,,,X,
o15,X,,,,,,,,,,,X,,,,
o16,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,
o18,,,,,,,X,,,,,,,,,
o19,,,,,,X,,,,,,,,,,
o20,,,,X,,,,,,,,,,,,X
o21,,,X,,,,,,,X,,,X,,,
o22,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,
o25,,,,,,,,X,,,,,,,,
o26,X,,,X,,,X,,,,,,,,,
o27,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,
o31,,,,X,,,,,X,,,,,,,
o32,,,,,,,X,X,,,,,,,,
o33,X,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,
