,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,,,,,,,,,,X,,,
o1,,X,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,
o3,,,,,,,,,X,,,,,,
o4,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,
o6,X,,,,,,,X,,,,,,,X
o7,,,,,,,,,,,,,,,
o8,X,,,,,,,,,,,,,,
o9,,,,,,,,,,,,X,,,
o10,X,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,
o12,,,,,,,,X,,X,X,,,,
o13,,,,,,,,,,,,,,,
o14,,,,,,,,,X,,,,,,
o15,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,X,
o17,,,,,,,,,,,,,,,
o18,X,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,
o20,,,,,,,,,,X,,,,,
o21,,,,,,,,,,,,,,,
o22,,,X,X,,,,,,,,,,,
o23,,,,,,,,,,,X,,,,
o24,,,,,X,,,,,,,,,,
o25,,,,,,,,,,,,,,,
o26,,,X,,,,,,,,,,,,
o27,,X,,,,,,,,,,,,,
o28,,,X,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,X,,
o34,,,,,,,,,,,,,,,
o35,,X,,,,,,,,,,X,,,
o36,,X,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,
o38,,,,,,X,,,,,,,,,
o39,,X,,,,,,,,,,,,,
o40,,,,,X,,,,,,,,,,
