,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22
o0,,,,,,,,,,,,X,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,X,,,X,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,X,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,X,,X,,,,
o7,,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,X,,,
o9,,,,,,,,,,,,,,,,,X,,X,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,X,,,,,,,,,,,,X,,,,
o12,,,,,,,,X,,,,,,,,,X,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,X,,,,
o15,,,X,,,,,,,,,,,,,,,,,,X,,
o16,,,,,X,X,,X,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,X,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,X,,X,,,,,,,,,,,,X,,,,
o20,,,,,,,,,,,,,,,,,,,,,,X,
o21,,,,,,,,,,,,X,,,,,,,,,,,
o22,X,,,,,,,,,,,X,,,,,,,,,,,
o23,X,,,,,,,,,,,,,,,,,,,,,X,
o24,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,X,
o26,,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,X,,,,,X,,
o28,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,X
o30,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,X,,,,,,,X,,,,,,,X,,
o34,,X,,,,,,,,,,,,,X,,,,,,,,
o35,,,,,,,,,,X,,,,,,,,,,,,,
o36,,,X,,,,,,,X,,,,,,,,,,,,,
o37,,X,,,,,,,,,X,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,X,,,,,,,,,,X,,,,,
o40,,,,,,,,,,,,,,,X,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,X,,,,
o43,,,,,,,,,,,,,,,,,,,,,,X,
o44,,,,,,,,,,X,,,,,,,,,X,,,,
o45,,,,,,,,X,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,X,,,,,,X,X,,,
o47,,,,,,,,X,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,X,,,,,,,,,,
o49,,,,,,,,X,,,X,,,,,,,,,,,,
o50,,,,,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,X,,,,,,,,,,,,,
o52,,,,,,,X,,,,,,X,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,,,
o54,,X,,,,,X,,,,,,,,,,,,,,X,X,
o55,,,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,
o57,,,,X,,,X,,,,,,,,,,,,X,,,,
o58,,,,,,,,,,,,,,,,,,,,,,,
o59,,X,,,,,,,,,,,,,,,,,,,,,
o60,,,,,,,,,,,,,,,,,,,,,,,
o61,,,,X,,,,,,,,,,,,,,,,,,,
o62,,,,,,,,,,,,,,,,,,,,,,,
o63,,,,,,,,,,,,,X,,,,,,,,,,
o64,,,,,,,,,X,,,,,,,,,,,,,,
o65,,,,,X,,,,,,,,,,,,,,,,,,
