,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,,,,,,,
o1,,,,,,,,,,,
o2,X,,,,,,,,,,X
o3,,,,,,,,X,X,X,
o4,,,,,,,X,X,,,
o5,,,,,,,,,,,
o6,,,X,,,,,,,,
o7,,,,X,,,,,,,
o8,,,,,,,,,X,X,
o9,X,,X,,,,,,,,
o10,,,,,,,,,,,
o11,,,,,,,,,,,
o12,,,,,,,,,,,
o13,,,,X,,,,,X,,
o14,,X,,,,,,,,,
o15,,,X,,,,,,,,
o16,,,,,,,,,,X,
o17,,,,,,,,,,,
o18,,X,,,,,,,,,
o19,,,,X,,,,,,,
o20,,,,,,,,,,,
o21,,,,,,,,,,,
o22,X,,,X,,,,,,X,
o23,,,,,,,,,X,,
o24,,,,,,,,,,,
o25,,,,,,,,,,,
o26,,,,,,,,,,X,
o27,,,X,,,,,,,,
o28,,,,,,,,,,,
o29,,,,,,,,X,,,
o30,,X,,,,,,,,,
o31,,,,,,,,X,,,
o32,,,,,,,,X,,,
o33,,,,,,,,,,,
o34,,,,,,,,,,,
o35,,,,,,,,,,,
o36,,,,,,,,,,,
o37,,,,,X,,,,,,
o38,,,,,,,,,,,
o39,X,X,,,,,,,,,
o40,,,,,X,,X,,,,
o41,,,,X,,X,,,,,
o42,,,,,,,,,,X,
o43,,,,,,,,X,,,
o44,,,,,,,,,,,
o45,,,,,,,,,,,
o46,,,,,,,,,,,
o47,,,,,,,,,,,
o48,,,,,,,,,,,
o49,X,,,,,,,X,,,
o50,,,,,,,,,,,
o51,,,,,,,,,,,
