,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28
o0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7,X,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,X,
o14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
o21,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,
o23,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o27,,X,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
o33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X
o35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o37,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
o40,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
o41,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
