,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25
o0,,,,,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,,X,,,,,,,,,,,,,,,,,,,,X,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,X,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,X,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,X,,,,,,,,
o7,,,X,,,,,,,,,X,,,,,,,,,,,X,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,X,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,X,,X,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,X,,,,X,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,X,,,X,,,X,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,,,
o20,,X,,,,,,,,,,,X,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,X,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,X,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,,,
o29,X,,,,,,,,,,X,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,,,,,,
o32,X,,,,,,,,,,,,,,,,,,,,,,X,,,
o33,,,,X,,,,,,,,,,X,,,,X,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,X,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,,,,,,
o38,,,,X,,,,,,,,,,,,,,,,X,,,,,X,
o39,,,,,,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,X,,,,,,,,,,,,,,,,,,
o41,,X,,,X,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,X,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,X,,,,,,,,,,,,,,,,,,,
o45,X,,,,,,,,,,,,,,X,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,X,,,,,X,,,
o47,,,,,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,,,,,X,,,,
o49,X,,,,,,,,,,,,,X,,,,,,,X,,,,,
o50,,,,,,,,,,,,,,,,X,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,,,,,,
o53,X,,,,,,,,,,X,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,X,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,,,,,,
o57,,,X,,,,,,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,,,,,,
o59,,,X,,,,,,,,,,,,,,,,,,,,,,X,
