,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19
o0,X,X,,,X,,X,,,,,,,,,X,,,,
o1,,,,,,,,,X,X,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,
o3,,,,X,,,,,,,,,,,,,X,,,
o4,,,,,X,,,,,,,,X,,,,,,,
o5,,,,,,X,X,,,,X,,X,,,,X,,,X
o6,,,,,,,,,,X,X,,,,,,,X,,
o7,,,,,X,X,X,,,,,,,,,,,,,
o8,,X,,,,,,,,,,,,,,,,,,X
o9,,,,,,,,,,,X,,X,,,,,,,
o10,,,,,,X,,,,,,,,,,,X,,,
o11,X,,,,,,,,,,,,,X,,,,,,X
o12,,,,,,,,,,,,,,,,,,,,
o13,,X,,,,,,,,X,,,,,,,,,X,X
o14,,,,,,,,,,,,,,,X,X,X,,,
o15,,,,X,,,X,X,,X,,,,,,,,,,
o16,,,,X,,,,,X,,,,,X,,,X,,,
o17,,,,,X,,,,,,,,,,X,,,,,
o18,,,X,,,,,,,,,,,,,,X,,,
o19,,,X,,,,,,X,,X,,,X,,,,,,
o20,,,,,X,,,,X,,,X,,,,X,,,,X
o21,,,,,,X,,X,X,,,,,,,,,,X,
o22,X,,,,,,,,,,,,,,,X,,,,
o23,X,,X,,X,,,,,X,,,,,,,,,,
o24,,,X,,,,,,,,,,,,X,,,X,,
o25,X,X,X,X,X,,,,,X,,,,X,,,X,,X,X
o26,,,,,,,X,,,,,,,,,,X,X,,
o27,,,,,,,,,,X,,,,,,,,,,
o28,,X,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,X,X,,X,X,X,,
o30,X,,,X,,,X,X,,,,,,,,,X,,,
o31,,,,,,,,,,,,,,,,X,,,X,
o32,,,,,,,,,,,X,,,,X,,X,,X,
o33,,,,,,,,,X,,,,,,,,,,,X
o34,,,X,,,,,,,,,,,,,,,,,
o35,,,,,,X,,,,,,,,,,,,,,X
o36,X,,,,,,,,,,,,,,,,,,,
o37,,,,,X,,,X,X,,,,,,,,,X,,
o38,,,,,,X,,,,,X,,X,,,,X,X,X,
o39,,,,,,,,,X,,,,,,X,,,,,
o40,,,,,,,,,,,,,,X,,X,,,X,
o41,,,,,,,,,,,,,,,,,X,,X,
o42,,X,,,,,,X,,,,,X,,,,,,,
o43,,,,,,,,,,,,X,,,,,,,,
o44,,,,,X,X,,,X,X,,,,,,,,,,
o45,,,,,X,,,,,,X,,X,,,,X,,X,
o46,,,,,X,,,X,,,,X,,,X,,,,,
