,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,X,,,X,,,
o1,,,,,,,,,,,
o2,,,,,,,,,,X,
o3,,,,,,,,,,,
o4,,,,,,,,,,,
o5,X,,,,,,,,,,
o6,,,,,,,,,,,
o7,,,,,,,,,,,
o8,,,,,,,,,,,
o9,,,,,,,,,,,
o10,,,,,,,,,,,
o11,,,,,,,,,,,
o12,,,,,,,,,X,,
o13,,,,,,,,,,,
o14,,,,,,,,,,,
o15,,,,,,,,,,,
o16,,,,,,,,,,,
o17,,,X,,,,,,,,
o18,,,,,,,,,,,
o19,X,,,,,X,,,,,
o20,,,,,,,,,,X,
o21,,,,,,,,,,,
o22,,,,,,,,,,,
o23,,,,,,,,,,,
o24,,,,,,,,,,,
o25,,,,,,X,,,,,
o26,,,,,,,,,,,
o27,,,,,,,,,,,
o28,,,,,,,,,,,
o29,X,,,,,,,,X,,
o30,,,,,,,,,,,
o31,,,,,,,,,,,
o32,,,,,,,,,,,
o33,,,,,,,,,,,
o34,,,,,,,,,,,
o35,,,,,,,X,,,,
o36,,,,,,,,,,,
o37,,,,,,,,,,,
o38,,,,,,,,,,,
o39,,,,,,,,,,,
o40,,,,,,,,,,X,
o41,,,,,,,,,,,
o42,,,,,,,X,,,,
o43,,,,,,,,,X,,
o44,,,,,,,,,,,
o45,,,,,,,,,,,
o46,X,,,,,,,,,X,
o47,,,,,,,,,,,
o48,,,,,,,,,,,
o49,,,,,,,,,,,
o50,,,,,,,,,,,
o51,,,X,,,,,,,X,
