,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,X,X,,,,,
o1,X,,,,X,,,,,,
o2,,,X,,,,,,,,
o3,,,,X,,,,X,,,
o4,,,,,,,,,,X,
o5,X,,X,,,,,,,,X
o6,,X,,,,,,,X,,X
o7,X,,,X,,,,,X,,
o8,,,,,,,,,,,
o9,,,,X,,,,,,,X
o10,X,,,X,X,,,X,X,,
o11,,,X,,,,X,,,X,
o12,,,,,,X,X,,X,X,
o13,,,X,,,,,X,,,
o14,,,,,,,,,,,
o15,X,,,,X,X,,,,,
o16,,,,X,,,,,,,
o17,,,,,,,,,,X,
o18,,,X,X,X,,,,,,
o19,,X,,,,,,,,,X
o20,,,,,X,,X,,,,X
o21,,,,,,,,,,,
o22,,,,,,X,,,,,
o23,,,,X,X,,X,,,,X
o24,,,,,X,X,X,,,,X
o25,X,,X,,,,,X,,,
o26,X,,X,,X,,,,,,X
o27,,,,,,,X,X,,,X
o28,X,X,,,,X,X,,,,
o29,,,X,X,,,,,,,
o30,,X,,,X,,,X,,,
o31,,,,X,X,,X,,,,
o32,,,,,X,X,,,,,
o33,X,,,,,,,,X,X,
o34,,,,X,,,X,,X,,
o35,,,,X,,,,X,,,
o36,,,,,,,,X,,X,X
