,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,X,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,X,,,,,,,,X,,
o3,,,,,,,,,,,,,X,,,,X,X,,,
o4,,,,,,,,,,,,,,,,,,,,,
o5,,,X,,,,X,,,,,,,,,,,X,X,,
o6,,,,,,,,,,,,,,,,,,,X,,
o7,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,X,,X,,X,,,,,
o11,,,,,,,,,,,,X,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,X,,
o14,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,X,,
o16,,,,,,,X,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,X,,,,,,,,,,,
o19,,,,,X,,,X,,,,,,,,,,,,,
o20,,,,,,X,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,,
o23,,,X,,,,,,,,,,,,,,,,,,
o24,,,X,,,,,,,,,,,,X,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,X,,,,,,,,,
o27,,,,,,,,,,,,,X,,,,,,,,
o28,X,,,,,,,,,,,X,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,X,,,,
o31,,,,,,,,X,,,,,,,X,,X,,,,
o32,,,,,,,,,,,,,,,,,,,,,
o33,,,,,X,,,,,,,,,,,,,X,,,
o34,,,,,,,,,,,,X,,,,,,,X,,
o35,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,X,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,X,,,,,,,,,
o40,,,,,,,,,X,,,,,,,,,,,,
o41,,,,,X,,,,,,,,,,,X,,,,,
o42,,,,,,,,,,,,X,,,,,,,,,
o43,,,,,X,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,
o45,,X,,,,X,,,,,,,,,,,,,X,,
o46,,X,,,,,,,,,,,,,,,,,,,
o47,,,,,,X,,,,,,,,,,X,,,,,
o48,,,,,,,,,,,,,,,,,X,,,,
o49,X,,,X,,,,,,,,,,,,,,,,,
o50,,X,,,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,X,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,X,
o55,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,X,,,,,,
o57,,,,,,,,,,,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,
