,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21
o0,,,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,X,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,X,,,,,,,,,,,,
o5,,,,,,,,,,,,X,,,,,,,X,,,
o6,,,,,,,X,X,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,X,,X,,,,,,
o9,,,,,,,,X,,,,,X,,,,,,,,,
o10,X,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,X,,,,,,,,X,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,
o13,,,X,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,,
o18,,X,X,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,X,,,,,,,,,,,
o20,,X,,,X,,,X,,,,,,X,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,X,,,
o22,X,,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,
o24,,,,X,,,,,,,,,,,,X,,,,,X,
o25,,,,,,X,,,,X,,,,,,,,,,,,
o26,,,,X,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,X,,,,
o28,,X,,,,,,,X,,,,,,,,,,,,X,
o29,,,,,,,,,,X,,,,,,,,,,,,
o30,,,,,,,X,,,X,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,X,,,,,,X
o32,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,X,,,,,,
o35,,,,,,,,,,,,,,X,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,X,,,
o37,,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,X,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,X,,X,,,,X,,,,,
o41,,,X,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,X,X,
o43,,,,,,,,,X,,,,,,,,,,X,,,
o44,,,,,,,,X,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,X,X,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,X,,,,,,,,,,,,,,,
