,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,,,,,,,
o1,,X,,,,,,,,,
o2,,X,,,,X,,,,,
o3,,,X,,,,,X,X,X,
o4,,,,,,,,,,,
o5,,,,,,,,,,,
o6,,,,,,X,,,,,
o7,,,,,,X,,,,,
o8,,X,,,,,,X,,,
o9,,,,,,,,,,X,
o10,,,,X,,,X,,,,X
o11,,,X,,,,X,,,X,
o12,,,,,X,,,,,,
o13,,,,,,,,X,,,
o14,,,,,,,,,,,
o15,,X,,,,,,,,X,
o16,,X,,,,,,,,,X
o17,,,,,X,,,,,X,
o18,,,,,,,X,X,,,
o19,,,,X,,,,,,,
o20,,,,,,,,,,X,
o21,,X,,,,,,,,,
o22,,,X,,,,,,,X,
o23,X,,,,,,,X,,,
o24,,,,X,,,X,X,X,X,
o25,,,,,,,,,,X,
o26,,,,,,,,,,X,
o27,,,,,,X,,,,X,X
o28,,,,X,,,X,,,,X
o29,,,,X,,,,,,,
o30,,X,,,,,,,,,
o31,,,,,,X,,,X,X,X
