,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,,,X,,
o1,,,,,,,,,,,,
o2,,,,,,,,X,,,,
o3,,,X,X,,,,,,,,
o4,,,,,,,,,,,,
o5,,,,,X,,,,,,,
o6,,,,,,,,,,,,X
o7,,,,,,,,,X,,,X
o8,,,,,,,,,,,,
o9,,,,,,,,,,,,
o10,,,,,X,,,,,,,
o11,,,,,,,,,,,,X
o12,,,,X,,,,,,,,
o13,,,,,,,,X,,,X,X
o14,,,,,X,,X,,,,,
o15,,,X,,,,,,,,,
o16,,,,,,,,,,X,,
o17,,,,,,,,,,,,
o18,,,,,,,,,,,,
o19,,,,,,,,,,,,
o20,,,,,,,,,X,,,
o21,,,,,,,,,,X,,
o22,,,,,,X,,,,,,
o23,,,,,,,,,,,,
o24,,,,,,,,,X,,,
o25,X,,,,,,,X,,,,
o26,,,,,,X,,,,,,
o27,,,,,,,,,,,,
o28,,,,,,,,X,,,X,
o29,,,,,,,,,,X,,
o30,,,,,,,,,,,,
o31,,,,,,,,,,,,
o32,,,,,,X,,,,,,
o33,,,,,,,,,,,,
o34,,,,,,,,,,,,
o35,,X,,,,,,,,X,,
o36,,,,,,,,,,,,
o37,,,X,,,,,,,,,
o38,,,,X,,,,,,,,
o39,,,,X,,,,,,,,
o40,,X,,,,,,X,,,,
o41,,,,,,,,,,X,,
o42,,,,,,,,,,,,
o43,,,,,,,,X,,,,
o44,,,,,,,,,,,,X
o45,,,,,,,,,,,,
