,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,,,,,
o1,,,,,,,,,,,,
o2,,,,,,,,,,,,
o3,,,,,,,,,,,,
o4,,,,,,,,,,,,
o5,,,,,,X,,,,,,
o6,,,,,,,,,,,,
o7,,,,,,,,,,,,
o8,,,,,,,,,,,,
o9,,,,,,,,,,,,
o10,,,,,,,,,,,,
o11,,,,,,,,X,,,,
o12,,,,,,,,,,,,X
o13,,,,,,,,,,,,
o14,,,,,,,,,,,,
o15,,,,,,X,,,,,,
o16,,,,X,,,,,,,,
o17,,,,,,,,,,,,X
o18,,,,,X,,,,,,,
o19,,,X,,,,,,,,,
o20,,,,,,,,,,,X,
o21,,,,,,X,,,,,,
o22,,,,,,,,,,,,
o23,,,,,,,,X,,,X,
o24,X,,,,,,,,,,,
o25,,,,,,,,,,X,,
o26,,,,,,,X,,,,,
o27,,,,,,,,,,,,
o28,,,,,,,,,X,,,
o29,,,,,,,,,,,,
o30,,,,,,,,,,,,
o31,X,,,,,,,,X,,,
