,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,,,,,,,
o1,,,,,,,,,,,
o2,,,,,,,,,,,
o3,,,,,,,,,,,X
o4,,,,,X,,,,,,
o5,,,,,,,,,,,
o6,,,,X,,,,,X,,
o7,,,,,,,,,,,
o8,X,,,,,,X,,,,
o9,,,,,,,,,,,
o10,X,,,,,,,,,,
o11,,,,,,,,,,,
o12,,,,,X,,,,,,
o13,,,,,,,,,,,
o14,,,,,,,X,,,,
o15,,,,,,,,,,,
o16,,,,,,,,,,,
o17,,,,,,,,,,,
o18,,,,,,,,,,,
o19,,,,,,,,,,,
o20,,,,,,,,,,,
o21,,,,,,,,,,,
o22,,,,,,,,,,,
o23,,,,,,,,,,X,
o24,,,,,,,,,X,,
o25,,,X,,,,X,,,,
o26,,,,,,,,X,,,
o27,,,,,,,,,,X,
o28,X,,,,,,,,,,
o29,,,,,,,,,,,
o30,,,,,,,,,,,
o31,,,,,,,,,,,
o32,,,,,,,,,,,X
o33,,,,,,,,,,,
o34,,,,,,,,,,,
o35,,,X,,,,,,,,
o36,,,,,,,,,,,
o37,,,,,,,,,,,
o38,,,,,,,,,,,X
o39,,,,X,,,,,,,
o40,,,,,,,,,,,
o41,,,,,,,,,,,
o42,X,,,,X,,,,,,
o43,,,,,X,,,,,,
o44,,,,,,,,,,,
o45,,,,,,,,,,,X
o46,,,,,,,,,,,
o47,,,X,,,,,,,,
o48,,,X,,,,X,,,,
o49,,,,,,,,,,,
o50,,,,,,X,,,,,
o51,,,,,,,,,,,X
o52,,,,,X,,,,,,
o53,,,,,,,,,,,
o54,,,,,,,,,,,
o55,,,,,,,,,,,
o56,,,,,,,,,,,
o57,,,,,,,,,,,
o58,X,X,,,,,,,,,
o59,,,,,,,,,,,
o60,,,,X,X,,,,,,
