,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17
o0,,,,,X,,,X,X,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,X,
o3,,,,,,,,,,,,,,,,,,
o4,,X,,,X,,,,,X,,,,,,,,
o5,,,,,,,,,,,,,,,,,,X
o6,,,,,X,,,X,,,,,,,,,,
o7,,,,,,,,,,,,,,,X,,,X
o8,,,X,,,,,,,,,X,,,,,,
o9,,,,,,,,,,,,X,,,,,,
o10,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,X,,,,,
o12,,,,,,,,,,,,,,,,,X,
o13,,X,,,,,,,,,,,,,,,,
o14,,,,,,,,,,X,,,,,,,X,
o15,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,X,,,,X,X,
o17,,,,,,,,,,,,,,,,,,
o18,,,X,,,,,,,,,,,,,,,
o19,,,,,,,,,,,X,,,,,,,
o20,,,,X,,,,,,,,,,,,,X,
o21,,,,X,,,,X,X,,,,X,,,,,X
o22,,X,,,,,,,,,,X,,,,,,
o23,,,,,,,,,,X,,,,,,,X,
o24,,,X,,,,,,,,,,,,,,X,
o25,,,,,,,,,X,,,,,,,,,X
o26,,,,,,,,,,,,,,,X,,,
o27,,,,,,,,,,,,,,,,,,
o28,,,,X,,,,,,,,,,,,,,
o29,,,X,,,,,,,,,,,X,,,,
o30,,,,,,X,,,,,,,X,,,,,
o31,,,,,X,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,X,X,,,,
o35,,,,X,,,,,,,,,,,,,,
o36,,,,,,,,X,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,
o39,,,X,,,,,,,,,,,,,,,X
o40,,,,,X,,,,,,,,,,,,,
o41,,X,,,,,,,,,,,,,,,,
o42,,,,,,,,,X,,,,,,,,X,
o43,,,,,,,X,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,,,
o46,X,,X,,,,X,,,,,,,,,X,,
o47,,,,X,,,,,,,,,,,,,,
o48,,,,,,,,,X,,,,,,,,,
o49,,,,,,,,,,,,,,X,X,,,
o50,,X,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,
o52,,,,,,,X,,,,,,,,,,,
o53,,X,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,X,,,,
o55,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,X,,,,,,
o57,X,,,,,,,,,,,,,,,,,
o58,,,,,X,,,,,,,,,,,,,
o59,,,,X,,,,,,,,,,,,,,
o60,,,,,,,,,,,,,,,,,,
o61,,,,,,,,,,X,,X,,,,,,X
o62,X,,,,,,,,,,,,,,,,,
o63,,,,,,,,,,,,,,,,,,
