,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,X,X,,,,X,
o1,,X,,,X,,,,,X
o2,,,,,X,,,,,
o3,X,,,,,X,X,X,,
o4,,,X,,,,,,X,
o5,,,,X,,X,,,X,
o6,X,X,,,,,X,,,X
o7,X,,,,,,,,,
o8,,,,,,,,,X,X
o9,,X,X,X,,,,,X,
o10,X,,X,,,X,X,,,
o11,,,X,,X,,,,,X
o12,,,,,,,,,,
o13,X,X,,,X,X,,,,
o14,X,X,,,,,,,,
o15,X,X,,,,,,,,
o16,,,,,,,,,,X
o17,,,,,,,,,,X
o18,,,,X,X,,X,,,X
o19,,,,,,,,,,
o20,,,,,,,,,X,X
o21,X,,,,X,,X,,,X
o22,,,,,,,,,,X
o23,,,,X,,,X,X,,
o24,,,,,,,X,,,
o25,X,,,,X,X,X,,,X
o26,,,,,,,,,X,X
o27,,,,,,,,,,X
o28,,,,X,,,X,,X,
o29,,,X,,,,,X,X,X
o30,,,,,,,X,,,
o31,,X,,,,X,,,,
o32,X,X,,,,,,,,X
o33,,,,,,,,X,,
o34,,,,,,X,X,,,X
o35,X,,,,X,,,,,
o36,X,,,,,,,,,
o37,,,,X,X,,,X,,X
o38,,,,X,,,,,,X
o39,,,,,X,,X,,,
o40,,X,,,,,,X,,
o41,,,,,,,X,,,X
o42,,,,,,X,X,,,
o43,,,,,,X,,X,,
o44,,,X,,,,,,X,
o45,X,X,,,,,,,,
