,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
o0,,,,,,,,,,,,,,,X,,
o1,,,,,,X,,,,,,,,,,,
o2,,,,X,,X,,X,,,,,,,,,
o3,,,,,,,X,,,,,,,,,,
o4,,,,,,,,,,,,,,,,X,
o5,,,,,,,,,,,X,,,,,,
o6,,,,,X,,,,,,,,X,,X,,
o7,,X,,,,,,,X,,,,,,,,
o8,X,,,,X,,,,,,,,,,,,
o9,,,,,,,,,,,,,X,,,,
o10,,,,,,,X,,,,,,X,,,,
o11,,X,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,X
o13,X,X,,X,X,,,,,,,,,,,,
o14,X,,,,,,,,,,,,,,X,,
o15,,,,,,,X,,,,,,,,,,
o16,X,,X,X,,,,,,X,,,,,,X,
o17,,X,,,,,,,X,,,,,,,,
o18,,,,,,,,,,,,,,X,X,,
o19,,,,,X,,,,,,,,,,,,
o20,,X,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,
o22,,,,X,,,,,X,,,X,,,,,
o23,,,X,,X,,X,,,X,,X,,,,,
o24,,,,,,,,,,,,X,,,,,
o25,X,,,,X,,,,,,X,,X,,,,
o26,,X,,,,,,,,,,,,,,,
o27,,,,X,,,,X,,,,,X,,,,
o28,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,
o30,X,X,,,,,,,,,,,,,,,
o31,,,,X,,,,,X,,,,X,,,,X
o32,X,,,,,,,,,,,,,,,,
o33,,,,,,,,X,,,,,,,,X,
o34,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,
o36,,,X,,,,,,,,,,,,,,
o37,X,,,,,,,,,,X,,,,,X,
o38,X,,,,,,,,X,,,,X,X,,,X
o39,,,X,,,X,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,
o43,,,,,,X,,X,,X,,,,,,,
o44,X,,,,,,,,X,,,,,,,X,X
o45,X,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,X,,,,,,
o47,,,X,,X,,,,,X,,,X,,,,
o48,,,,,,,,,,,,,,,,,X
o49,,,,,X,,,,,,,X,,,,,
o50,,,,,X,,,,,,,,,,,,
o51,,,,,,,,,,,,,X,,,X,
o52,,,X,,,,,,,X,,,,,,,
o53,,,,X,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,X,
o56,,X,,,X,,,,,,,,,X,,,
o57,,,,,,,,,,,,,,,,,X
o58,,,,,,,,,,,,,,,,,
o59,,,X,,,,,X,,,,X,,,,,
o60,,,,X,,,,,,,,,,,,,
o61,X,,,,,,,,,,,,,,,,
o62,,,,,,,X,,,,,,,,,,
o63,,,,,,,X,,X,,,,X,,,,
o64,,,,,,,,,,,,,,,,,
o65,,,,,,,,,,,,,,,,X,
