,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23
o0,,,,,,,,,,,,,,,,,,,,,,X,,
o1,,,,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,,,,
o7,,,,,,X,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,,,,X,
o13,,,,,,,,,,,,,,,,,,,,,,X,,
o14,,,,,,,,,X,,,,,,,,X,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,X,,,,
o18,,,,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,,,,
o21,,,,,X,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,X,,,,,
o23,,,,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,X,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,X,,,,
o26,,,,,,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,X,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,X,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,X,,,,
o35,,,,,X,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,X,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,X,,,
o38,,,,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,X,,,,,,X,
o43,,,,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,,,,
o45,,X,X,,,,,,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,,,,
