,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19
o0,,,,,,,,,,,,,,,,,X,,,
o1,,,,,,X,X,,,,,,,,,,X,,,
o2,,,,,,,,,,,,,,,,X,,,,
o3,X,,,,,,,,X,,,,X,,X,,,,,
o4,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,X,,,,,,,,,,,,,
o6,,,,,,,,,,X,,,,,,,,,,
o7,X,,,,,,,,,,,,,,,,X,,,
o8,,,,,,,,,,,,,,,X,,X,X,,
o9,,X,,,,,,,,,,,,,,,,,,
o10,,X,,,,,,,,,,,,,,,,,,X
o11,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,
o13,,X,,,,,,,X,,,,,,,,,,,
o14,,X,,,,X,X,X,X,,,,,,,,,,,
o15,,,,,,,,,,,X,,,,,,,,,
o16,,,,,,,,,,,X,,,,,,,,,X
o17,,,,,,,,X,,X,,,,X,,X,,,,
o18,X,,,,,X,,X,,,,X,,,,,,,,
o19,,,,X,,,,X,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,X,,
o21,,,X,,,,,,,,,,,,X,,,,,
o22,,X,,X,,,,,,,,,,,,,,,,
o23,,X,,,,,,,,,,,,,X,,X,,X,
o24,,,X,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,X,,X,X,,,
o26,X,,,,,,,,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,X,,X,,X,
o28,,X,X,,,X,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,X,,,,,,,,X,,X
o31,,,,,,X,,,,,,,,,,,X,,X,
o32,,,X,,,,,,,,X,,,,X,,X,,,
o33,,,X,,,,,X,X,,,,,,,,,,,X
o34,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,X,,,,,,,X,,,
o36,X,,,,,,,,,,,,,,,,,,X,
o37,,,,X,,,,,,,,,,,,,X,,,
o38,,,,,,X,,,,,,X,,,,,,,,X
o39,,,,,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,X,,,,,,,,,,,
o42,,,X,,,,,,,,,,,,,,,,,
o43,,,,,X,,,X,,X,,,X,X,,,,,,
o44,,,,,,,X,X,,,,,,,X,,,,,X
o45,X,X,,,,,,,,,,,,,,,,,,X
o46,,X,,,,,,X,,,,,,,,,,,X,
o47,,,X,X,,,,,,,,,,X,,,X,,,
o48,,,,,X,,,,,,,,,,,,X,,,
o49,,,,,,,,,,,,,,X,,,,,,
o50,,,,,X,,,,,,,,,,,,,,,
o51,X,X,,,,,,,,,,,,X,,,,,,
o52,,,X,,,X,,,,,,,,,,,,,,X
o53,,,,,,,,,,,,,,,,,X,,,
o54,,,,,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,X,X,,,,,,,,,,,
o57,,X,,,,,,,,,,,,,X,,,,,
o58,,,,,,,,X,,,,,,,,,,,,
o59,,,,X,,,,,,,,,,,,X,,X,,
