,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,,,,,,,,,X,,
o1,,,,,,,,,,,
o2,X,,,,,,,,,,
o3,,,,,,,,,,,
o4,,,,,,,,,,,
o5,,,,,,,,,,,
o6,,,,,,X,,X,,,
o7,,,,,,,,,,,
o8,,,,,,,,,,,
o9,,,,X,,,,X,,,
o10,,,,,,,,,,,
o11,,,,,X,,,,,,
o12,,,,,,,,,X,,
o13,X,,,,,,,,,,
o14,,,,,,,,,,,
o15,,,,,,,,,,,X
o16,X,,,,,,,,,,
o17,,,,,,,,,,,
o18,,,,,,,,X,,,
o19,,,,,,,,,,,
o20,,,,,,X,,,,,X
o21,X,,,X,,,,,X,,
o22,,,X,,,,,,,,
o23,,,,,,,,,,,
o24,,,,,,,,,X,,X
o25,,,,,,,,,,,
o26,X,,,,,,,,,,
o27,,,,,,,,,,X,
o28,,,,,,,,,,,
o29,,X,,,,,,,X,,
o30,,,,,X,,,,,,
o31,,,,,,,,,,,
o32,,,,,,,,,,,
o33,,,,,,,X,,,,
o34,,,,,,,,,,,X
o35,,,,,,,,,,,
o36,X,X,,,,,,,,,
o37,,,,,,X,,,,X,
o38,,,,X,,,,,,,X
o39,,,,,,,,,,,
o40,X,,,,,,,,,,
o41,X,,,,,X,,,X,,
o42,X,,,,X,,,,,,
o43,,,,,X,,,,,,
o44,,,,,,,,,,X,
o45,,,,,,,,,,,
o46,,,,X,,,,,,,
o47,,,,,,,,,,,
o48,,,,,X,,,X,,,
o49,,X,,,,,,,,,
o50,,,X,X,,,,,,,
o51,,X,,,,,,,,,
o52,,,,,,X,,,,,
o53,,,,,,,,,,,
o54,,,,,,,,,,,
o55,X,,,,,,,,,,
o56,,,,,,,X,,,,
o57,,,,,,,X,,,X,
o58,,,,,,,,,,,
o59,,,,,X,,X,,,,
o60,,,,X,,,X,,,,
o61,,,,,,,,,,,
o62,,,,,X,X,,,,,
o63,,,,,,,,,,,X
o64,,,,,,,,X,,,
o65,,,,,,,X,,,,
o66,,,,,,,,,,,
o67,,,,,,,,,,,
o68,,,,,X,,,,,,
