,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,,,,,,,,,,,,,,,,,,,
o1,,X,,,,,,X,,,,,,,,,,,
o2,,X,,,,,,,,,,,,,X,,,,
o3,,,,,,,,,,,,,,,,,,X,
o4,,,,,,,,,X,,,,,,,,,,
o5,,,,,,,,,,,,,,,,,,,X
o6,,,,,X,,X,,,,,,,,,,X,,
o7,,,,,,X,,,,,,,,,,,,,
o8,,,,,,,,X,,,,,,,,,,,
o9,,,,X,,,,,,,,,,,X,,X,,
o10,X,,,,,X,,,,,,X,,,,X,,,X
o11,X,,,,,,,,,,,,,,,,,X,
o12,X,,X,,,X,X,X,,,X,X,,,,,,X,
o13,X,,,,,,,X,,,,,,,,,,,X
o14,,,,,,,,,,X,,,X,,,,,,
o15,X,,,,,,,,,X,,,,,,,,,X
o16,,X,,,,,X,,,,,X,,,X,,,X,
o17,,,,,,,,,,,,,,,,X,,,
o18,,,,,,,,,,X,,,,,,,,,
o19,,,,,,,X,,,,,X,,,,,,X,
o20,,X,X,,,,X,,,,,,,,,,,X,
o21,,X,,,X,,,X,,,,,,,,,X,,
o22,X,,X,X,,,,,X,,,,,,,,,,
o23,,,,,,X,,,,,,X,,,,,,,
o24,,,,,,,,,,,X,,,,X,,,,
o25,,,,,,,,,,,X,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,
o27,,,,X,X,,,X,,,,,X,,,,,,
o28,,,,,,X,,,,,,,,,,,,,
o29,,,,,X,,X,,,,,,X,,,,,,
o30,,,,,,,X,,,,,,,,,,,,
o31,,X,X,,,,,X,,,,,,,,X,,,
o32,,,,,,,,,,,,,,,,X,,,
o33,,X,,,,,X,,,,,,,X,,,,,X
o34,,,,,,,,,X,,,,,,,,,,
o35,,,,,,,,,,,,,,X,,,,,
o36,X,,,,,,,,,,,,,,,,X,,X
o37,,X,,,,,,,,,X,,,X,,,,,
o38,,,,,,,,,,,,,,,,,,X,
