,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,,,X,,,,,,,,,,
o1,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,
o8,,,X,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,X,,,
o13,,X,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,X,,,
o23,,,,,,,,,,,,X,,,,
o24,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,
o26,,,,X,,,,,,,,,,,,
o27,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,
o33,,,,,,,X,,,,,,,,,
o34,,,,,,,,,,,,,,,,
