,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,,,X,,X,,,,,,,,
o1,,,,,,X,,,,,,,X,,,
o2,,,,,,,,,,,,,,,,
o3,,,X,,,,,,,,,,,,X,
o4,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,X,,,
o6,,,,,,,,,,,,,,,,
o7,,,,,,X,,,,,,,X,X,,
o8,,,,,,,,,,,X,X,X,,,
o9,X,,,,,X,,,X,,,,,,,
o10,,,,,,,,,,X,,,,,,
o11,,X,,,,,,,X,X,,X,,,,X
o12,,,,,,,,,,,,,,,X,
o13,,,,,,,,,,,X,,,,,
o14,X,,,,,,,,,X,,,X,X,,
o15,,,,,,,,,,,,,,,,
o16,,X,,,,,,,,,X,X,,,,
o17,,,,,,,,,,X,,X,,,,
o18,,X,,,,,,,,,,X,,,,
o19,X,,,,,,,,,X,,,,,,
o20,,,,,,,,,,X,,,,,,
o21,,,,,,X,,X,,X,,,,,,
o22,,,,,,,,,,,X,X,,,,X
o23,,,,,,,,,X,,,,,,,
o24,,,,,,,,,,,,,,,,
o25,,X,,,,,,,,,,,,,,X
o26,X,,X,,,,,,,,,,,,,
o27,,,,X,,,,,,,,,X,,,
o28,,,,,,X,,,,,,,,,,
o29,,X,,,,,,,,,X,,X,,X,
o30,,,,,,,,,,,,,,,,X
o31,,,,,X,X,,,,,,,X,,,
o32,,,,,,,X,,,,,,,X,X,
o33,,,X,,,,,X,,,,,,,,
o34,X,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,X,,,
o36,,X,,X,,,X,,,,,,,,,X
o37,,,,,,,,,,,,,,X,,
o38,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,X
o40,,,,X,,,,,,,,,,,,
o41,,,,,X,,,,,,,,,X,X,
o42,,,,,,,X,,,,,,,,,
o43,,,X,,,,,,,,,X,,,,
o44,,X,,,,,,X,X,,,X,,X,,
o45,,,,,X,X,,,,,,X,,,X,
