,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,X,
o2,X,,,,,,,,,X,,,,,X,
o3,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,X,,,,,
o5,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,
o7,,,,,,,,,,X,,,,,,
o8,,,,,,X,,,,,,X,,,,
o9,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,X,,,,
o11,,,,,,X,,,,,X,,,,,
o12,,,,,,,,,,,,,X,,X,
o13,,,,,,,,,,,,,,,,
o14,,,,,X,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,X,,X,
o17,,,,,,X,,,,,,X,,,,
o18,,,,,,,,,,,,,,,,
o19,,,,X,,,,,,,,,,,,
o20,,,,,X,,,,,X,,,,,,X
o21,,,,,X,X,,,,,,,,,,
o22,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,
o24,,,,,,,X,,X,,,,,,,
o25,,X,,,,,,,,,,,,,X,
o26,,,,,,,,,,,,,,,,
o27,,,,X,,,,,,,,,,,,
o28,,,,,,,X,,,,X,,,,,
o29,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,
o31,,,,,,,,X,,,,,X,,,
o32,,,,,,,,,,,,,,,X,
o33,,,,,,,,,,,,,,,,
o34,,,,,,,,X,,,,,,,X,
o35,,,,,,,,,X,,,,,,,
o36,,,,,,,,,,,,X,,,,
o37,,,,,,,,,,X,,,,,,
o38,,,,X,,,,,X,,,,,,,
o39,,,,,,,,,,,,,,,,X
o40,,,,X,X,,,,,,,,X,,,
o41,,,,,,,,,,X,,,,,,
o42,,,,,,,,,,,,,,,X,
o43,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,
o45,,,,,,,,,,X,,X,,,,
o46,,,,,,,X,,,,,,,,,X
o47,,,,,,,,,,,,,,,,
o48,,,X,,,,,,,,,,,,,
o49,,X,,,,,,,,,,,,,,
o50,,X,X,X,,,,,,X,,,,,,
o51,,,,,,,,,,,,,,,,
o52,,,,,,,,,X,,,,,,,
o53,,,,X,,,,,,,,,,,,
o54,,,,,,,,,,,X,X,,X,,
o55,,,,,,,,X,,,,,,,X,
o56,,,,,,,X,,,,,,,,X,
o57,,,,,,,,X,,,X,,,,,
o58,X,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,
