,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,,,,X,,,,,,,,X,,,
o1,,,,X,,,,,,,,,,,X,X
o2,X,,,,,,,,,,X,,,,,
o3,,,,,X,,X,,,X,,,,,,
o4,,,,,,,,,,,,,X,,X,
o5,,,,,,,,,,,,,X,,,
o6,,,,,,,,,,,X,X,,X,,
o7,,,,,,,,,,,X,,,,,
o8,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,
o10,,,,X,,X,,,X,,,,,,X,
o11,,,X,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,X,
o13,,,,,,,,,,,,,X,,,
o14,X,X,,,,,,,,,X,,,,,
o15,,,,X,,,,,,,,,,,,
o16,,,,,,,,X,,,,,X,,X,
o17,,X,,,,,,,,,,,,,,
o18,,,,,,,,,,,,X,,,,
o19,X,,,,,,,,,,,,,,,
o20,,X,,,X,,,,,,,,,,,
o21,,,,,,,X,,,,,,,,,
o22,,,,,,,,,,X,,,,,,
o23,,,,X,X,,,,,,,,,,X,
o24,X,X,,,,,,,,,,,,,,
o25,,,X,,,,,,,,,,,,,X
o26,,,,,,,,X,,,,X,,,,
o27,,,,,,,,,X,,,,,,X,
o28,,,,,,,X,,,,X,,,,,
o29,,,,,,,,,,,,X,,,,X
o30,,,,,,,,,,,,,,,,X
o31,,,,,,,,X,,,,X,,,X,
o32,,,,,,,,,,,,,,,,
o33,,,,X,,,,,X,,,X,,,,
o34,,,,,,,,,,,,,,,,
o35,,,,X,,,,X,,,X,,,,,
o36,,,,,,,X,,,,,,,,,
o37,,,,,,,,,X,,,,,,,
o38,,,,,,,,,,,X,,,,,
o39,,,,,,,,,,,,,,,,
o40,,,,,,X,,,,,,,,,,
o41,,,,,,,,,,,,,,,,
