,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,X,X,,,
o1,,,,,,,,,,,,
o2,,,,,,,,,,X,,
o3,,,,,,X,,,,,,
o4,,,,,,,,,,,,
o5,,,,,X,,,,,X,,
o6,,,,X,,,,,,,,
o7,,,,,,,X,,,,,
o8,,,,,,,,,X,,,
o9,,,,X,,,,,X,X,,X
o10,,,,,,,,,X,,,
o11,,,,,,,X,,,,,
o12,X,,,,,,X,X,,,,
o13,,,,,X,,,,,,,
o14,,X,,,,,X,,X,,,
o15,,,,,,,,,,,,X
o16,,X,,,X,,,,,,,
o17,,,,,X,,X,,,,,
o18,,,,,,,,X,,,,
o19,,,,,,X,,,,,,
o20,,,,,,,,,,,,
o21,,,,,,,,,,,X,
o22,,,,,X,X,,X,,,,
o23,,,,,,,,,,,,
o24,,,,,,,,,,,,
o25,X,X,,,,,X,X,,,,
o26,,,,,,,,,,X,X,
o27,,,,,X,,,,X,,,
o28,,,,,,X,,,,,,
o29,,,,,,X,,,,X,X,
o30,,,,,X,,,,,,X,
o31,,,,,,,,,,,,
o32,,,,,,,,,X,,,
o33,,,,,,X,,,,,,
o34,,,,,,,,,,,,
o35,X,,,,,,X,,,,,
o36,,,,,X,,,,,X,,
o37,,,,,X,,,,X,,,
o38,,,X,X,,X,X,,X,,X,
o39,,,X,,,,,,X,,X,
o40,,X,,,,,,X,,X,,
o41,,,,,,,,X,,,,
o42,,,,,,,,X,,,,
o43,,,,,,,,,,,,
o44,,,,X,X,,,,,,,
o45,,,,,,,,,X,X,,
o46,,,,,,,,,X,,,X
o47,,,,,,X,,,,,,
o48,,,,,,X,,X,,,,X
o49,,,,,,,,,,X,,
o50,,,,,X,,,,,,,X
o51,,X,X,X,,,,,,,,
o52,,,,,,,X,,,,X,X
o53,,,X,,,,,,,,,
o54,,,,,,,,,,,,X
o55,,X,,,,,,,X,,,X
o56,,,,,,,,,,,X,X
o57,,,X,,,,,,,,,
o58,,,,,,,,,X,,,
o59,X,,,,,,,,X,,X,
