,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19
o0,,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,,,,,,,,,,
o4,,,,,,,,,,,,,,,X,,X,,,
o5,,,,,,,X,,X,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,
o10,,,X,,,,,,,,,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,X,,,,,,
o14,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,X,,,,,,
o19,,,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,X,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,
o25,,,,,X,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,X,,,,,,
o27,,,,,,,,,,,,,,,,,,,X,
o28,,,,,,,,,,,,X,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,
o30,,,,X,,,,,,,,,,,,,,,X,
o31,,,,X,,,,,,,,,,,,,,,,
o32,,,,,,,,X,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,X,,,,
o34,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,X,,,,,,
o36,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,X,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,
o40,,,,,,X,,,,X,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,
o43,,X,,,,,,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,
o45,,,X,,,,,,,,,,,,,,X,,,
o46,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,X,,
o48,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,
o50,,,X,,,,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,X,,,,,,,,,,,
o53,,,,,,X,,,,,,,,,,,,,,
o54,,,,X,,,,,,,,,,,,X,,X,,
o55,,,,,,,,,X,,,,,,,,,,,
o56,,,,,,,,,X,,,,,,,,,,,
o57,,,,,,,,,,,,X,,,,,,,X,
o58,,,,,,,,,,,,,,,,,,,,
o59,,,,X,,,,,,X,,,,,,,,,,
o60,,,,,,,,,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,,,,,,
o62,,,,,,,,,,,,,,,,,,,,
o63,,,,,,,,,,,,,,,,,,,,
o64,,,,,,,,,,,,,,,,,,,,
o65,,,,,,,,,,,,,,,,,,,,
o66,,,,,,,,,,,,,,,,,,,,
o67,,,,,,,,,,,,,,,,,,,,
