,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,,,,,,
o1,,X,,,,X,,,,
o2,,,X,,,,,,,
o3,,,X,,X,,X,,,
o4,,,X,,,,,,X,
o5,,X,,,,,,,,
o6,,,,,,X,X,,,
o7,,X,,,,,,,,
o8,,X,X,,,,,,,
o9,,,,,,,,,,X
o10,X,X,,,,X,,,,
o11,,,,,,,X,,,
o12,,,,X,,,X,,,
o13,,,,,X,,,X,,
o14,,X,,,,,,,,
o15,,,,,X,,,,,X
o16,,,X,,,X,X,,,
o17,,,,,,X,,,,
o18,,X,,,X,,,,,
o19,,,,,X,,X,,,
o20,,,,,X,,,,X,
o21,X,X,,,,X,X,X,,
o22,,,,,,,,,X,X
o23,,,X,,,,,,,
o24,,X,X,,,,,,X,X
o25,X,,X,,X,,,X,X,
o26,,,,,,,,X,,
o27,X,X,,,X,,,X,X,
o28,,,,X,,,X,X,,
o29,X,,,X,,X,X,,,
o30,X,,X,,,,,X,,
o31,X,,,X,,X,,,X,
o32,,X,,X,,,X,,,X
o33,X,,,,,,,,,
o34,,,,,,,,X,,
o35,X,,X,,,X,,,,
o36,,,,,,,,,X,
o37,,,X,,,,X,,,
o38,,,,,,,,,,
o39,,,,,,,,,,
o40,X,,,,,,,,,
o41,,,,X,,,,,X,
o42,,,,,X,,,,,X
o43,X,,,X,,,,,X,
o44,,,,,,X,,,X,
o45,,X,X,,,,,,,
o46,,,,X,,,,,,
o47,,,,,,,,,,X
o48,,,X,,,,X,X,,X
o49,,X,X,,,X,,,,
o50,,X,,,,,,X,,X
o51,,,,,,X,,,,
o52,X,,,,,,,,,
o53,,X,,X,X,X,,,,X
o54,,,X,X,,,X,,,
o55,,,X,,,X,X,,,
o56,,X,,X,X,,,,,
o57,X,,X,,,,,X,,
o58,X,,,X,,,,,,
o59,,,,,,,X,X,,
o60,,,X,X,,,,,X,
o61,X,,,X,X,,,,,
o62,X,,,,,,X,,,X
o63,,,X,,,,,X,X,
o64,,,,,,,,,X,X
