,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18
o0,,,,,,,,,,,,,,,,,,,
o1,,,,,,,,,,,,X,,X,,,,,
o2,,,,,X,,,,,,,,,,X,,,X,
o3,,,,,,,,,,,,,,,X,,,,
o4,,,,,,,,,,X,,,,,,,,,
o5,,,,,,,,,,,X,,,,,,,,
o6,,,X,,,,,,,,,,,,,,,,
o7,,,,,,X,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,
o9,,,,,X,,,,,,,,,,,,X,,
o10,X,,,,,,,,,X,,,,,,,,,
o11,,,,,,,,,,,,,,,,,,,
o12,,,,,,,,,X,,,,,,,,,,
o13,X,,,,,,,,,,,,,,,,X,,
o14,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,X,,X,,,,
o17,,,,X,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,
o19,X,,,,,,,,,,,,,,,,,,
o20,,,,,X,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,,,
o23,,,X,,,,,,,,X,,,,,,,,
o24,,,,,,,X,,,,,,,,,,,,
o25,,,,,,,,,,,,,,X,,,,X,
o26,,,,,,,,,,,,,,,,,,,
o27,,,,,X,,,,,,,,,,,,,,
o28,,,,,X,X,,,,,,,,,,X,,X,
o29,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,
o31,,,,,,X,,,,,,,,,,X,,,X
o32,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,X,,X,,,,
o34,X,,,,,,,,,,,,,,,,,,
o35,,,,,,,,X,,,,,,,,,X,,
o36,,,,,,,,,,,,,X,,,,,,
o37,,,,,,,,,,,,,,,,X,,,
o38,,,,,,,,X,,,X,,,,,,X,,
o39,,X,,,,,,,,,,,,,,X,,,
o40,,,,,,,,,,,,,,,,,,X,X
