,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,,,,,,,,,,,,,,,,,,,X
o1,,X,,,,,,,,,,,,,,,,,X,,
o2,,,,,X,,,,,,,X,,,,,,X,,,X
o3,,,,,,,,,,,,,,,,,,,X,,X
o4,,,,X,X,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,X,,,,,X,,,,
o6,,,,,,,,,,,,,,X,,,,,,,
o7,,,,,X,,,,,,,,,,,,,,,X,
o8,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,X,,,,,,,,,,X,,,,
o10,,,,,,,,,,,,,,,,,X,,,,
o11,,,,,,,,,,,X,,,,,,,,,,
o12,,,,,,,,,,,,,,X,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,
o15,,,,X,,,,,,X,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,X,,
o19,,,X,,,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,,,,,,
o21,,,,,X,,,,,,X,,,,,,,,,,
o22,,,,,,,,,,,,,,,,,X,,,X,
o23,,,,X,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,X,,,,,,,,X,,
o25,X,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,,,,,,,,,,
o27,,,,,X,,,,,,,,,,,,,,,X,
o28,,,,,,,,,,,,,,,,,,,X,,
o29,,,,,,,,,X,,,,,,X,,,,X,,
o30,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,X,,,,,,,,,,,
o33,,,,,,,,,,,X,,X,,,,,,,,
o34,,,,X,,X,,,,,,,,X,,X,,,,,
o35,,,,,,,,,X,,,,,,,,,,,,
o36,,,,X,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,
o39,,X,,,,,,,,,,,,X,,,,,,,
o40,,X,,,,,,,,,,,,,,,,,,,
o41,,,,,,X,,,,,,,,X,X,,,,,,
o42,,,,,,,,,,,,,,,,,,,X,,
o43,,,,,,,,X,,,,,,,,,,,,,
o44,,,,,,,,,,,,,,,,,,,,,
o45,,,,,X,,,,,,,,,,,,,,,,
o46,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,X,,,,,,,,
o48,,,,,,,,X,,,,,,,,,,,,,
o49,,X,X,X,,,,,,X,,,,,,,,,X,,
o50,,,,,,,,,,,,X,,,X,X,,,,,
o51,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,X,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,,,,,,
o54,,,,X,X,,,,,,,,,,,,,,,,
o55,,,,,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,X,,X,
o57,,,,X,,,,X,,,,,,,X,,,,,,
o58,,,,,,,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,X,,,,,,,
o60,,,,,,,,,,,,,,,,,,,,,
o61,,,,,,,,,,,,,,,,,,,,,
o62,,,X,,,,,,,,,,,,X,,,,,,
