,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15
o0,,X,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,X,,,,,
o3,,,,,,X,X,,,,,,,,,
o4,X,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,,,
o6,,,,,,,,,,,,,,,,
o7,,,,,,X,,,,,,,,,,
o8,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,
o10,,,,,,,,X,,,,,,,,
o11,,,,,,,,,,,,,,,,
o12,,,,,,,,X,,,,,,,,
o13,,,,,,,,,,,,,,,,X
o14,,,,,,,,,,,,,,,,
o15,,,,,,,,,,X,,,,,,
o16,,,,,,,,,,X,,,,,,
o17,,,,,,,,,,,,,,X,,X
o18,,,,,X,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,
o20,,,,,,,,,,,,,,,,
o21,,,,,,,,,,,,,,,,
o22,,,,,,,,,,,,,,,,
o23,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,
o25,,,X,X,,,,,X,,,,,,,
o26,,,,,,,X,,,,,,,,,
o27,,,,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,
o31,,,,,,,,,,X,,,X,,,
o32,,,,,,,,,,,,,,,,
o33,,,X,,,,X,,,,,,,,,
o34,,X,,,,,,,,,,,,,,
o35,,,,X,X,,,,,,,,,,,
o36,,,,,,,,,,,,,,X,,
o37,X,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,
o40,,,,,,,,,,,,,,,,
o41,,,,X,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,X,
o43,,,,,,,,,,,,X,,,,
o44,,,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,X,,
o46,,,,,,,,,,,,,,,,X
o47,,,,,,,,,,,,,,,,
o48,,,,,,,,X,,,,,,,X,
o49,,,,,,,,,,,,,,,,
o50,,,X,,,,,,,,X,,,,,
o51,,,,,,,,,,X,,,,,,
o52,,,,,,,,,,,,,,,,
o53,,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,
o55,,,,,X,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,
o57,,,,,X,,,,,,,,,,,
o58,,,,,,,,,,,,,,,,
o59,,,,,,,,,,,,,,,,
o60,,,,,,,,,X,,,,,,,
o61,,,,,,X,X,,,,,,,,,
o62,,,,,,,X,,,,,,,,,
o63,,,,,,,,,,,,,,,,
o64,,,,,,,,,,,,,,,,
o65,,,,,,,,,,,X,,,,,
