,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
o0,,,,,,,,,,X,,
o1,,,,X,,,,,,,,
o2,,,,X,,,,,,X,,
o3,,,,,,,,,,,,
o4,,X,,,,,,,X,,,
o5,,,,X,,,,,,,,
o6,,,,X,,,,X,,,,
o7,,,X,,,,,,,,,
o8,,,,,,,,,,,,
o9,,,,,,,,,X,,,
o10,,,,,,,,X,,X,,X
o11,,X,,,,,,,,X,,
o12,,,,,,,X,,,,,
o13,X,,,,X,,,X,,,,
o14,,,,,,,,,,X,X,
o15,,,,,,,,,,,,
o16,,,,,,,,,,,,
o17,X,,,,,,X,,X,,,X
o18,,,,,,,,,,,,
o19,,,X,,,,,,,,,
o20,,,,,,,,,,,,
o21,,,X,X,,,,,,,,
o22,,X,,,,,,,,,,
o23,,,,,,,,,,,X,X
o24,,,,,,X,,,,,,
o25,,,,,,,,X,,,X,
o26,,,X,,,,,,,,X,
o27,,,X,X,X,,,X,,,,
o28,X,,,,X,,,X,,,,
o29,,,,,X,,,,,,,
o30,,,,,X,,,,,,,
o31,,,,,,,,X,,,X,
o32,X,,,,,,,,,,,X
o33,,,,,X,,,,X,,,
