,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
o0,X,,,,X,,,,,,
o1,,,,,,,,X,,,
o2,,,,,,,,,X,,X
o3,,,X,,,,,,,,
o4,,,X,,X,,X,,X,,
o5,X,,,,,,,X,X,X,
o6,,X,X,,X,,,X,X,,
o7,,,,,,,,,,,X
o8,,,,,X,,,,,,X
o9,,,,X,,X,,,,,
o10,X,X,,,,,,,,,
o11,,,,X,,,X,,,,
o12,,,,,,,,,X,X,X
o13,,,,,,,,,X,X,
o14,X,,,,,X,,,X,X,
o15,X,,,,,,,,,,
o16,X,,,,,,,X,,,
o17,,,,X,,,,X,,,
o18,,,,X,,,,,X,,X
o19,X,,,,,,,,X,,X
o20,,,,,,,X,,,,
o21,X,,,,,,,,,,
o22,,,X,,,,X,,,,
o23,X,,X,,,,,,X,,
o24,X,,X,,,,,,,X,
o25,,,,X,,,,,,,
o26,,,,,,,,,,,
o27,,,,,,,,,,,
o28,,,X,,X,,,,X,,
o29,X,,,,,,,,,,X
