,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
o0,,,X,,,,X,,,,,,,,
o1,,,,,,,,X,,,,,,X,
o2,,,,X,,,,,,,X,,,,
o3,,,,,,,,X,,,,,,,
o4,,X,,,,,,,,,,X,,,
o5,,X,X,,,,,,,,,,,,
o6,,,,,,,,,,,,,X,,
o7,,,,,,,,,,X,,,,,
o8,,,,,,X,X,,X,,,,,,
o9,,,,,,,,,,,,,X,,
o10,,,,,,,,X,X,,,,,,
o11,,,,,,,,,,,,,,,
o12,X,,,,,,,,,,,,,,
o13,,,,,,,X,,,,,,,,
o14,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,
o16,,,X,,,,,,,,,,,X,
o17,,,,,,,,X,,,,,,X,X
o18,X,,,X,,,,,,,,,,,
o19,,,,,,,,,,,,,,,
o20,,,,,,,,,X,,,,,,
o21,,,,X,,,,,,X,,,,,
o22,,,,,,,,,X,,,,,,
o23,,,,,,,,,,,,,,,
o24,,,,,,,X,,,,,,,,
o25,,X,X,,X,,X,,,,,,,,
o26,,,,,,,,,,,,,,,
o27,,,,,X,,,,,,,X,,,
o28,,,,,,,,,X,X,X,,,X,
o29,,,,,,,,,,X,,,,,
o30,,,,,,,,,,X,,,,,
o31,,,,,,,,,,,,,,,
o32,,X,,,,X,,,,,,,,X,
o33,,,,,,,,,,,X,,,,
o34,,,,,,,,,,,X,,,,
o35,,,,,,X,,,X,X,,,,X,X
o36,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,
o38,,,,,,,,,,,X,X,,,
o39,,,,,,,,,,,,,,,
o40,,,,,,X,X,,,,X,,,X,
o41,,X,,,,,,,,,,,,,
o42,X,,,,,,,,,,,,,,X
o43,,,,,,,,,,X,,,,,
o44,,,,,,,,,,,,,,,X
o45,,,,,,,,,,,,,X,,
o46,,,,,,,,,,,,,,,
o47,,,,,,,X,,,,,,X,,
o48,,,,,,,,,,,,X,,,
o49,,,,X,,,,,,,,,,,
o50,,X,,,,,X,,,,,,,,X
o51,X,,,,,,,,,,,,,,
o52,X,,,,,,,,,,,,,,
o53,,X,,,,,,,,,,,,,
o54,,,,X,,X,,,,,,X,,,
o55,,,,,,,,,X,,,,,,
o56,,X,,,,,,,,,X,X,,,
o57,,,,,,,,,X,,,,,,X
o58,X,,,,,,,,,,,,,,
o59,,,,,,X,,,,,,,,,
o60,,,,,,,,,,,X,,,,
o61,,X,,,,,,,,,,,,,
o62,,,,,,,,X,,,,,X,,
o63,,,,,X,X,,,,,,,,,X
o64,,,,,,,,,X,,,,,,X
o65,,,,X,,,,,,,,,,,
o66,,,,,,,,,,,,X,,,
o67,X,,,,,,X,,,,,,,,
