,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
o0,,,,,,,,,,
o1,,,,,,,,,,
o2,,,,,,,,,,
o3,X,,,,,,,,,
o4,,,,,,,,,,
o5,,,,,,,,,,
o6,,,,,,,,,,
o7,,,,,,,,,,
o8,,,,,,,X,,,
o9,,,,,,,,,,
o10,,X,X,,,,,,,
o11,,,,,,,,,,
o12,,,,,,,,,,
o13,,,,,,,,,,
o14,,,,,,,,,,
o15,,,,,,,,,,
o16,,,,,,,,,,
o17,,,,,,,,,,
o18,,,,,,,,,,
o19,,,,,,,,,,
o20,,,,,X,,,,,
o21,,,,,,,,,,
o22,,,,,,,,,X,X
o23,,,,,,,,,,
o24,,,,,,,,,,X
o25,,,,,X,,,,,
o26,,,,,,,,,,
o27,,,,,,,,,,
o28,,,,,,,X,,,
o29,,,X,,,,,,,
o30,,,,,,,,,,
o31,,,,,,,,,,
o32,,,,,,,,,,
o33,,,,,,,,,,
o34,,,,,,,,,,
o35,,,,,,,,,,
o36,,,,,,,,,,
o37,,,,,,,,,,
o38,,,,,X,,,,,
o39,,,,,,,,,,
o40,,,X,,,,,,,
o41,,X,,,,,,,,
o42,,,,,,,X,,,
o43,,,,X,,,,,,
o44,,,,,,,,,,
o45,,,,,,,,,,
o46,,,,,,,,,,
o47,,,,,,,,,,
o48,,,,,,,,,,
