,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
o0,,,,,,,X,,,,,,,,,,,,,,
o1,,,,,,,,,,,,,,,,,,,,,
o2,,,,,,,,,,,,,,,,,,,,,
o3,,,,,,,,,,,X,,,,,,,,,,
o4,,,,,,,,,,,,,,,,,,,,,
o5,,,,,,,,,,,,,,X,,,,,,,
o6,,,,,,,,,,,,,,,,,,,,,
o7,,,,,,,,,,,,,,,,,,,,,
o8,,,,,,,,,,,,,,,,,,,,,
o9,,,,,,,,,,,,,,,,,,,,,
o10,,,,,,,,,,,,,,,,,,,,,
o11,,,,,,,X,,,,,,,,,,,,X,,
o12,,,,,,,,,,,,,,,,,,,,,
o13,,,,,,,,,,,,,,,,,,,,,
o14,,,,,,,,,,,,,,,,,,,,,
o15,,,,,,,,,,,,,,,,,,,,,
o16,,,,,,,,,,,,,,,,,,,,,
o17,,,,,,,,,,,,,,,,,,,,,
o18,,,,,,,,,,,,,,,,,,,,,
o19,,,,,,,,,,,,,,,,,,,,,
o20,,,X,,,,,,,,,,,,,,,,X,,
o21,,,,,,,,,,,,,,,,,,,,X,
o22,,,,,,,,,,,,,,,,,,,X,,
o23,,,,,,,,,,,,,,,,,,,,,
o24,,,,,,,,,,,,,,,,,,,,,
o25,,,,,,,,,,,,,,,,,,,,,
o26,,,,,,,,,,,,X,,,,,,,,,
o27,,,,,,,,X,,,,,,,,,,,,,
o28,,,,,,,,,,,,,,,,,,,,,
o29,,,,,,,,,,,,,,,,,,,,,
o30,,,,,,,,,,,,,,,,,,,,,
o31,,,,,,,,,,,,,,,,,,,,,
o32,,,,,,,,,,,,,,,,,,,,,
o33,,,,,,,,,,,,,,,,,,,,,
o34,,,,,,,,,,,,,,,,,,,,,
o35,,,,,,,,,,,,,,,,,,,,,
o36,,,,,,,,,,,,,,,,,,,,,
o37,,,,,,,,,,,,,,,,,,,,,
o38,,,,,,,,,,,,,,,,,,,,,
o39,,,,,,,,,,,,,,,,,,,,,
o40,X,,,,,,,,,,,,,,,,,,,,
o41,,,,,,,,,,,,,,,,,,,,,
o42,,,,,,,,,,,,,,,,,,,,,
o43,,,,,,,,,,,,,,,,,,,,,
o44,,,,,,,X,,,,,,,,,,,,,,
o45,,,,,,,,,,,,,,,,,,X,,,
o46,,,,,,,,,,,,,,,,,,,,,
o47,,,,,,,,,,,,,,,,,,,,,
o48,,,,,,,,,,,,,,,,,,,,,
o49,,,,,,,,,,,,,,,,,,,,,
o50,,,,,,,X,,,,,,,,,,,,,,
o51,,,,,,,,,,,,,,,,,,,,,
o52,,,,,,,,,,,,,,,,,,,,,
o53,,,,X,,X,,,,,,,,,,,,,,,
o54,,,,,,,,,,,,,,,,,,,,,
o55,,,,X,,,,,,,,,,,,,,,,,
o56,,,,,,,,,,,,,,,,,,,,,
o57,,,,,,,,,,,,,,,,,,,,,
