,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
o0,,,,,,X,,X,,,,,X
o1,,,,,,,,,X,,X,X,
o2,,,,X,,,X,X,X,,,,
o3,,,,X,,,,,,,,,
o4,,,,,,X,,,,,,,
o5,,,,,,X,,,,,,,
o6,X,,,,,,,X,,,,X,
o7,,X,,,,,,,,,,,
o8,,,,,X,,,,,,,,
o9,,,,,,X,,,,,,,
o10,,,,,,,,,,,,,
o11,,,,,X,,,,X,,,X,
o12,X,,X,,X,,X,,,,,,X
o13,,,,,,,X,,X,,,,
o14,,,X,,,,,,,,,,
o15,,,,,,,,X,,X,,,
o16,,,,,X,X,,,,,,,
o17,,,,,,,,,X,,,,
o18,,,,X,,,,,,,,,
o19,X,,,,,,,,,,X,,
o20,,,,,,,,,X,X,,,
o21,,X,,X,,,,,,,X,,
o22,,,X,,,X,,,,X,X,X,
o23,,,,,,,,,X,,,,
o24,,,,X,,,,,,,,,
o25,,X,,,,,,,,,,,
o26,,,X,,X,,,,,,,,
o27,,,,,X,,,,,,,,
o28,,,,,,,,X,,,,,
o29,,X,,,,,,,,X,,,X
o30,X,,,,X,,,,,,,,
o31,,,,,,X,X,,X,,,,
o32,,,,,,,X,,,,,,
o33,,,,,,,,,,,X,,X
o34,,X,,,,,,,X,,,,
o35,,,X,,,,,,X,,,,
o36,,,,,,,,,,,,,
o37,X,,,,,,,X,X,,,,
o38,,X,,,,,,,,,X,,
o39,,,X,,,X,,,X,,,X,
o40,,,,,,,,,,X,,,
o41,,,,,,,,,,,,,
o42,,,,,,,,,,X,,,
o43,,,,,,,,,,,X,,
o44,,,,,,,,,,,,,
o45,,X,,,,,,,,,,,
o46,,,,,X,,,X,,,,X,
o47,,,X,,,,,X,,,,,
o48,,,,,,,,,,,,,
o49,,,,,,,,,,,,,
o50,,,,,,X,,,,,,,
